site,date,time (pdt),stage (ft),notes
BuddCrk,7/16/19,10:04,8.01,
BuddCrk,7/16/19,11:00,7.99,
BuddCrk,7/18/19,10:28,7.94,
BuddCrk,7/18/19,11:04,7.95,
BuddCrk,7/30/19,15:11,7.82,
BuddCrk,7/30/19,15:39,7.82,
BuddCrk,8/14/19,9:44,7.7,
BuddCrk,8/14/19,9:51,7.7,
BuddCrk,6/18/20,14:00,7.74,
BuddCrk,6/18/20,15:27,7.74,
BuddCrk,8/4/20,11:20,7.47,
BuddCrk,8/4/20,12:08,7.46,
BuddCrk,8/13/20,14:20,7.44,
BuddCrk,5/12/21,13:45,8.06,
BuddCrk,5/12/21,14:30,8.06,
BuddCrk,6/16/21,12:15,7.63,
BuddCrk,7/15/21,13:45,7.47,
BuddCrk,7/15/21,14:10,7.47,
BuddCrk ,7/27/21,15:45,7.5,
BuddCrk,7/27/21,16:20,7.5,
DanaFk@BugCamp,7/15/19,14:15,8.94,"staff plate missing, used td"
DanaFk@BugCamp,7/15/19,15:00,8.94,"staff plate missing, used td"
DanaFk@BugCamp,7/17/19,15:54,8.82,bolt
DanaFk@BugCamp,7/17/19,16:43,8.82,bolt
DanaFk@BugCamp,7/18/19,9:05,8.87,bolt
DanaFk@BugCamp,7/18/19,9:58,8.86,bolt
DanaFk@BugCamp,8/13/19,12:05,8.32,bolt
DanaFk@BugCamp,8/13/19,15:01,8.3,bolt
DanaFk@BugCamp,7/23/20,14:11,0.93,staff plate
DanaFk@BugCamp,7/23/20,15:33,0.94,staff plate
DanaFk@BugCamp,8/3/20,13:58,0.88,unclear
DanaFk@BugCamp,8/3/20,16:42,0.87,unclear
DanaFk@BugCamp,8/12/20,11:20,1.86,unclear
DanaFk@BugCamp,9/3/20,11:08,0.8,unclear
DanaFk@BugCamp,9/3/20,12:15,0.8,unclear
DanaFk@BugCamp,8/1/19,13:27,8.55,unclear
DanaFk@BugCamp,8/1/19,13:54,8.54,unclear
DanaFk@BugCamp,6/7/21,14:40,1.4,staff plate
DanaFk@BugCamp,6/7/21,15:30,1.39,staff plate
DanaFk@BugCamp,6/7/21,15:30,8.66,td
DanaFk@BugCamp,7/7/21,13:45,1,unclear
DanaFk@BugCamp,7/7/21,15:20,1,unclear
DanaFk@BugCamp,7/14/21,10:50,9.05,unclear
DanaFk@BugCamp,7/14/21,11:17,9.05,unclear
DanaFk@BugCamp,7/21/21,8:00,0.96,unclear
DanaFk@BugCamp,7/21/21,8:45,0.95,unclear
DanaFk@BugCamp,7/28/21,11:25,1.02,unclear
DanaFk@BugCamp,7/28/21,11:30,1.02,staff plate
DanaFk@BugCamp,7/28/21,11:30,1.75,td
DanaFk@BugCamp,7/28/21,15:15,1.03,staff plate
DanaFk@BugCamp,7/28/21,15:55,1.02,staff plate
DanaFk@BugCamp,8/18/21,13:30,0.83,staff plate
DanaFk@BugCamp,8/18/21,14:15,0.83,staff plate
DanaFk@BugCamp,9/22/21,10:28,0.7,staff plate
DanaFk@BugCamp,9/22/21,10:28,2.08,td
DelaneyCrkAbvPCT,7/11/19,15:18,7.94,
DelaneyCrkAbvPCT,7/18/19,13:42,7.66,
DelaneyCrkAbvPCT,7/18/19,14:22,7.56,
DelaneyCrkAbvPCT,7/30/19,13:55,7.43,
DelaneyCrkAbvPCT,8/14/19,14:50,7.08,
DelaneyCrkAbvPCT,8/14/19,15:05,7.08,
DelaneyCrkAbvPCT,6/24/20,14:15,7.14,
DelaneyCrkAbvPCT,6/24/20,15:39,7.12,
DelaneyCrkAbvPCT,7/13/20,11:42,6.78,
DelaneyCrkAbvPCT,7/16/20,13:58,6.7,
DelaneyCrkAbvPCT,7/16/20,14:32,6.72,
DelaneyCrkAbvPCT,8/4/20,15:34,6.31,
DelaneyCrkAbvPCT,8/4/20,16:20,6.3,
DelaneyCrkAbvPCT,8/13/20,14:20,6.05,
DelaneyCrkAbvPCT,8/13/20,14:50,6.05,
DelaneyCrkAbvPCT,8/26/20,15:50,6.13,
DelaneyCrkAbvPCT,6/15/21,14:18,7.11,
DelaneyCrkAbvPCT,7/19/21,11:50,6.65,
DelaneyCrkAbvPCT,7/19/21,15:10,6.88,
DelaneyCrkAbvPCT,7/26/21,14:30,6.79,
DelaneyCrkAbvPCT,7/26/21,15:20,6.79,
DelaneyCrkAbvPCT,8/21/21,11:30,5.84,BuddCrk field notes
DelaneyCrkAbvPCT,8/26/21,11:30,5.84,
LyellAbvTwinBridges,7/17/15,9:15,9.22,From Site profile
LyellAbvTwinBridges,7/31/19,16:02,9.71,
