date_time(UTC:LDT+7),stage_from_solinst(ft),stage_manually_measured(ft),water_temperature(degC),discharge_manual(cfs),"gauging_flag(1-usesolinststagemeasurement,2-usemanualstagemeasurement)"
7/15/200422:35,NaN,NaN,13.8,41.63,1
7/22/200318:05,NaN,NaN,11,52.8,1
10/29/200319:00,NaN,NaN,6.6,NaN,1
8/11/201118:10,7.65,NaN,NaN,64.12,1
8/11/201118:41,7.61,NaN,NaN,NaN,1
7/19/201018:31,7.83,NaN,NaN,NaN,1
8/25/20100:00,7.03,NaN,NaN,NaN,1
9/18/201020:09,6.66,NaN,11.9,5.79,1
8/11/200919:51,7.1,NaN,NaN,19.95,1
6/10/200819:00,7.1,8.14,3.3,NaN,1
8/3/200822:52,7.05,NaN,17.4,20.83,1
9/10/200819:54,6.8,7.09,9.6,6.49,1
9/18/200620:30,6.72,7.04,NaN,NaN,1
8/15/200622:00,7.24,NaN,NaN,28.5,1
6/11/200716:50,7.38,7.69,NaN,NaN,1
6/27/200719:00,7.29,7.56,10,NaN,1
6/27/200723:00,7.27,7.6,12.8,NaN,1
6/28/20073:00,7.42,7.74,10.2,NaN,1
6/28/20077:00,7.47,7.76,8.4,NaN,1
6/28/200711:00,7.42,7.71,7,NaN,1
6/28/200715:00,7.35,7.65,5.9,NaN,1
7/10/200719:45,7.36,7.64,NaN,NaN,1
5/29/200718:20,7.69,7.99,4.5,NaN,1
5/29/200720:17,7.75,7.98,NaN,66.8,1
5/29/200719:50,7.72,7.98,NaN,NaN,1
6/11/200721:55,7.36,7.66,9.4,30.03,1
6/20/200721:50,7.41,NaN,NaN,38.7,1
5/22/200719:17,7.53,7.86,3.8,NaN,1
8/19/200520:40,7.33,NaN,NaN,31.83,1
10/20/200516:50,6.37,NaN,0.9,NaN,1
9/3/200521:04,7.06,7.71,11.5,NaN,1
8/19/20052:02,7.41,NaN,10.2,NaN,1
7/19/20051:27,8.61,NaN,5.7,169.15,1
7/19/200515:26,8.14,NaN,NaN,81.78,1
7/4/20050:50,8.42,NaN,4,141.67,1
7/4/200515:10,8.15,NaN,1.1,76.4,1
7/5/20120:33,7.47,7.41,12,NaN,1
7/18/201223:40,7.17,7.1,12,NaN,1
8/7/201222:43,7.23,7.2,NaN,NaN,1
8/8/201217:50,7.29,7.27,NaN,NaN,1
8/21/201222:07,7.14,8.08,NaN,NaN,1
8/23/201216:01,7.34,7.37,NaN,28,1
9/11/201222:45,7,6.99,NaN,22.9,1
9/19/20120:33,6.76,6.8,NaN,8.76,1
6/25/201321:05,7.59,7.59,9.6,NaN,1
7/9/201320:25,7.26,7.26,NaN,21.7,1
7/23/201318:29,7.29,7.33,NaN,30.9,1
7/27/201317:22,7.23,7.29,NaN,NaN,1
7/30/201317:20,7.12,7.16,NaN,NaN,1
8/6/201320:30,6.97,7.01,NaN,11.9,1
8/20/201320:02,7.23,6.28,14.9,NaN,1
8/21/20130:10,7.14,7.2,14.6,NaN,1
8/21/201315:43,7.13,7.18,NaN,22.3,1
8/21/201316:44,7.11,7.16,NaN,19.1,1
8/21/201317:15,7.1,7.15,NaN,18.8,1
8/21/201318:11,7.1,7.14,NaN,18.7,1
9/3/201322:00,7,6.99,NaN,12.2,1
9/23/201322:07,6.8,6.77,9,NaN,1
6/11/20141:42,8.1,NaN,NaN,105.7,1
6/11/20141:46,8.11,8.01,NaN,NaN,1
6/11/20144:34,8.12,NaN,NaN,112.2,1
6/11/20144:36,8.12,8.04,NaN,NaN,1
6/11/20144:54,8.12,8.02,NaN,NaN,1
6/11/20144:56,8.12,NaN,NaN,109.06,1
6/23/201422:27,7.36,NaN,NaN,23.95,1
6/23/201422:31,7.36,7.32,NaN,NaN,1
7/7/201420:54,7.2,7.18,11.2,NaN,1
7/16/201418:45,7.22,8.21,NaN,NaN,1
8/13/201423:55,6.98,6.95,14.6,NaN,1
9/16/201415:04,6.88,NaN,NaN,NaN,1
9/16/201417:16,6.87,6.88,NaN,NaN,1
9/16/201417:32,6.87,NaN,NaN,8.47,1
7/14/20160:37,NaN,7.445,NaN,45.2,2
8/16/201616:15,NaN,7.03,NaN,19.6,2
7/6/20171:10,NaN,8.39,NaN,192,2
7/6/20172:30,NaN,8.425,NaN,243,2
8/16/20171:04,NaN,7.655,NaN,49.6,2
9/6/20171:33,NaN,7.515,NaN,39.5,2
6/27/20180:20,NaN,7.87,NaN,NaN,2
6/27/20180:50,NaN,7.92,NaN,85.47,2
6/27/20181:07,NaN,7.95,NaN,NaN,2
