"TOA5","DanaBug","CR800","15297","CR800.Std.11","CPU:DanaFk_downloaded_20210707.cr8","13686","T15min"
"TIMESTAMP","RECORD","BattV","Lvl_ft","Temp_C","Observed","Lvl_ft_corr","Offset"
"TS","RN","Volts","feet","deg C","","feet",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-07-12 00:00:00",229707,12.82,0.73,17.18,1,0.979,0.25
"2021-07-12 00:15:00",229708,12.81,0.729,17.08,1,0.979,0.25
"2021-07-12 00:30:00",229709,12.8,0.729,16.98,1,0.978,0.25
"2021-07-12 00:45:00",229710,12.79,0.729,16.87,1,0.979,0.25
"2021-07-12 01:00:00",229711,12.77,0.73,16.77,1,0.979,0.25
"2021-07-12 01:15:00",229712,12.77,0.729,16.65,1,0.979,0.25
"2021-07-12 01:30:00",229713,12.75,0.73,16.54,1,0.979,0.25
"2021-07-12 01:45:00",229714,12.74,0.733,16.43,1,0.982,0.25
"2021-07-12 02:00:00",229715,12.73,0.731,16.33,1,0.981,0.25
"2021-07-12 02:15:00",229716,12.72,0.732,16.22,1,0.982,0.25
"2021-07-12 02:30:00",229717,12.71,0.733,16.11,1,0.983,0.25
"2021-07-12 02:45:00",229718,12.7,0.733,16,1,0.982,0.25
"2021-07-12 03:00:00",229719,12.7,0.733,15.9,1,0.982,0.25
"2021-07-12 03:15:00",229720,12.69,0.735,15.79,1,0.985,0.25
"2021-07-12 03:30:00",229721,12.68,0.734,15.69,1,0.984,0.25
"2021-07-12 03:45:00",229722,12.67,0.734,15.59,1,0.983,0.25
"2021-07-12 04:00:00",229723,12.66,0.736,15.48,1,0.986,0.25
"2021-07-12 04:15:00",229724,12.65,0.736,15.37,1,0.986,0.25
"2021-07-12 04:30:00",229725,12.64,0.737,15.27,1,0.987,0.25
"2021-07-12 04:45:00",229726,12.64,0.737,15.17,1,0.986,0.25
"2021-07-12 05:00:00",229727,12.63,0.737,15.07,1,0.986,0.25
"2021-07-12 05:15:00",229728,12.62,0.736,14.97,1,0.986,0.25
"2021-07-12 05:30:00",229729,12.62,0.736,14.86,1,0.986,0.25
"2021-07-12 05:45:00",229730,12.61,0.738,14.77,1,0.988,0.25
"2021-07-12 06:00:00",229731,12.6,0.737,14.68,1,0.987,0.25
"2021-07-12 06:15:00",229732,12.6,0.738,14.58,1,0.988,0.25
"2021-07-12 06:30:00",229733,12.59,0.738,14.49,1,0.987,0.25
"2021-07-12 06:45:00",229734,12.59,0.738,14.39,1,0.988,0.25
"2021-07-12 07:00:00",229735,12.58,0.739,14.3,1,0.989,0.25
"2021-07-12 07:15:00",229736,12.58,0.738,14.22,1,0.988,0.25
"2021-07-12 07:30:00",229737,12.59,0.74,14.15,1,0.99,0.25
"2021-07-12 07:45:00",229738,12.64,0.738,14.09,1,0.988,0.25
"2021-07-12 08:00:00",229739,12.7,0.74,14.06,1,0.99,0.25
"2021-07-12 08:15:00",229740,12.78,0.74,14.06,1,0.989,0.25
"2021-07-12 08:30:00",229741,12.89,0.741,14.08,1,0.991,0.25
"2021-07-12 08:45:00",229742,13.02,0.741,14.14,1,0.991,0.25
"2021-07-12 09:00:00",229743,13.18,0.741,14.23,1,0.991,0.25
"2021-07-12 09:15:00",229744,13.36,0.741,14.36,1,0.99,0.25
"2021-07-12 09:30:00",229745,13.35,0.739,14.53,1,0.989,0.25
"2021-07-12 09:45:00",229746,13.33,0.74,14.72,1,0.989,0.25
"2021-07-12 10:00:00",229747,13.31,0.74,14.96,1,0.989,0.25
"2021-07-12 10:15:00",229748,13.3,0.741,15.23,1,0.99,0.25
"2021-07-12 10:30:00",229749,13.28,0.741,15.44,1,0.991,0.25
"2021-07-12 10:45:00",229750,13.26,0.741,15.67,1,0.99,0.25
"2021-07-12 11:00:00",229751,13.24,0.741,15.94,1,0.991,0.25
"2021-07-12 11:15:00",229752,13.24,0.74,16.19,1,0.99,0.25
"2021-07-12 11:30:00",229753,13.23,0.739,16.44,1,0.989,0.25
"2021-07-12 11:45:00",229754,13.23,0.739,16.7,1,0.988,0.25
"2021-07-12 12:00:00",229755,13.22,0.738,16.99,1,0.987,0.25
