"TOA5","DanaFk._297","CR800","15297","CR800.Std.11","CPU:DanaFk082114.CR8","42213","T15min"
"TIMESTAMP","RECORD","BattV","Lvl_ft","Temp_C","Observed","Lvl_ft_corr","Offset"
"TS","RN","Volts","feet","deg C","","feet",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-07-01 00:00:00",228651,12.82,0.958,11.67,0.9,1.098,0.14
"2021-07-01 00:15:00",228652,12.81,0.957,11.59,0.9,1.097,0.14
"2021-07-01 00:30:00",228653,12.8,0.955,11.5,0.9,1.096,0.14
"2021-07-01 00:45:00",228654,12.79,0.956,11.43,0.9,1.096,0.14
"2021-07-01 01:00:00",228655,12.78,0.954,11.35,0.9,1.094,0.14
"2021-07-01 01:15:00",228656,12.77,0.95,11.28,0.9,1.091,0.14
"2021-07-01 01:30:00",228657,12.76,0.947,11.2,0.9,1.088,0.14
"2021-07-01 01:45:00",228658,12.75,0.947,11.12,0.9,1.087,0.14
"2021-07-01 02:00:00",228659,12.74,0.942,11.04,0.9,1.082,0.14
"2021-07-01 02:15:00",228660,12.73,0.946,10.96,0.9,1.086,0.14
"2021-07-01 02:30:00",228661,12.72,0.942,10.88,0.9,1.082,0.14
"2021-07-01 02:45:00",228662,12.71,0.941,10.81,0.9,1.081,0.14
"2021-07-01 03:00:00",228663,12.71,0.938,10.73,0.9,1.078,0.14
"2021-07-01 03:15:00",228664,12.7,0.934,10.65,0.9,1.075,0.14
"2021-07-01 03:30:00",228665,12.69,0.936,10.57,0.9,1.077,0.14
"2021-07-01 03:45:00",228666,12.68,0.931,10.49,0.9,1.071,0.14
"2021-07-01 04:00:00",228667,12.67,0.931,10.41,0.9,1.071,0.14
"2021-07-01 04:15:00",228668,12.66,0.928,10.33,0.9,1.069,0.14
"2021-07-01 04:30:00",228669,12.66,0.929,10.26,0.9,1.069,0.14
"2021-07-01 04:45:00",228670,12.65,0.927,10.18,0.9,1.068,0.14
"2021-07-01 05:00:00",228671,12.64,0.924,10.1,0.9,1.064,0.14
"2021-07-01 05:15:00",228672,12.63,0.922,10.03,0.9,1.063,0.14
"2021-07-01 05:30:00",228673,12.62,0.921,9.96,0.9,1.061,0.14
"2021-07-01 05:45:00",228674,12.62,0.917,9.89,0.9,1.057,0.14
"2021-07-01 06:00:00",228675,12.61,0.918,9.82,0.9,1.058,0.14
"2021-07-01 06:15:00",228676,12.6,0.919,9.75,0.9,1.059,0.14
"2021-07-01 06:30:00",228677,12.6,0.915,9.68,0.9,1.056,0.14
"2021-07-01 06:45:00",228678,12.59,0.915,9.62,0.9,1.056,0.14
"2021-07-01 07:00:00",228679,12.59,0.913,9.55,0.9,1.054,0.14
"2021-07-01 07:15:00",228680,12.58,0.913,9.49,0.9,1.053,0.14
"2021-07-01 07:30:00",228681,12.59,0.91,9.43,0.9,1.05,0.14
"2021-07-01 07:45:00",228682,12.62,0.91,9.4,0.9,1.05,0.14
"2021-07-01 08:00:00",228683,12.65,0.907,9.4,0.9,1.048,0.14
"2021-07-01 08:15:00",228684,12.63,0.907,9.41,0.9,1.048,0.14
"2021-07-01 08:30:00",228685,12.7,0.908,9.42,0.9,1.048,0.14
"2021-07-01 08:45:00",228686,12.82,0.906,9.46,0.9,1.046,0.14
"2021-07-01 09:00:00",228687,12.96,0.903,9.54,0.9,1.044,0.14
"2021-07-01 09:15:00",228688,13.16,0.902,9.66,0.9,1.042,0.14
"2021-07-01 09:30:00",228689,13.52,0.901,9.83,0.9,1.041,0.14
"2021-07-01 09:45:00",228690,13.49,0.902,10.03,0.9,1.042,0.14
"2021-07-01 10:00:00",228691,13.48,0.903,10.27,0.9,1.043,0.14
"2021-07-01 10:15:00",228692,13.47,0.899,10.52,0.9,1.039,0.14
"2021-07-01 10:30:00",228693,13.46,0.899,10.76,0.9,1.039,0.14
"2021-07-01 10:45:00",228694,13.43,0.897,11,0.9,1.038,0.14
"2021-07-01 11:00:00",228695,13.42,0.898,11.26,0.9,1.038,0.14
"2021-07-01 11:15:00",228696,13.42,0.897,11.52,0.9,1.037,0.14
