"TOA5","DanaFk._297","CR800","15297","CR800.Std.11","CPU:DanaFk_downloaded_20210707.cr8","13686","T15min"
"TIMESTAMP","RECORD","BattV","Lvl_ft","Temp_C","Observed","Lvl_ft_corr","Offset"
"TS","RN","Volts","feet","deg C","","feet",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-08-03 00:00:00",231819,12.82,0.768,15.53,1,1.018,0.25
"2021-08-03 00:15:00",231820,12.81,0.77,15.4,1,1.019,0.25
"2021-08-03 00:30:00",231821,12.8,0.768,15.27,1,1.018,0.25
"2021-08-03 00:45:00",231822,12.78,0.77,15.16,1,1.019,0.25
"2021-08-03 01:00:00",231823,12.77,0.768,15.04,1,1.018,0.25
"2021-08-03 01:15:00",231824,12.76,0.769,14.92,1,1.019,0.25
"2021-08-03 01:30:00",231825,12.75,0.771,14.8,1,1.02,0.25
"2021-08-03 01:45:00",231826,12.74,0.77,14.69,1,1.02,0.25
"2021-08-03 02:00:00",231827,12.73,0.769,14.58,1,1.019,0.25
"2021-08-03 02:15:00",231828,12.72,0.77,14.47,1,1.02,0.25
"2021-08-03 02:30:00",231829,12.71,0.77,14.36,1,1.02,0.25
"2021-08-03 02:45:00",231830,12.7,0.77,14.26,1,1.02,0.25
"2021-08-03 03:00:00",231831,12.69,0.772,14.15,1,1.021,0.25
"2021-08-03 03:15:00",231832,12.68,0.771,14.05,1,1.02,0.25
"2021-08-03 03:30:00",231833,12.67,0.771,13.94,1,1.02,0.25
"2021-08-03 03:45:00",231834,12.66,0.773,13.83,1,1.023,0.25
"2021-08-03 04:00:00",231835,12.65,0.773,13.73,1,1.023,0.25
"2021-08-03 04:15:00",231836,12.65,0.772,13.62,1,1.021,0.25
"2021-08-03 04:30:00",231837,12.64,0.772,13.51,1,1.022,0.25
"2021-08-03 04:45:00",231838,12.63,0.772,13.41,1,1.022,0.25
"2021-08-03 05:00:00",231839,12.62,0.775,13.3,1,1.024,0.25
"2021-08-03 05:15:00",231840,12.61,0.774,13.19,1,1.024,0.25
"2021-08-03 05:30:00",231841,12.6,0.776,13.08,1,1.026,0.25
"2021-08-03 05:45:00",231842,12.6,0.777,12.97,1,1.027,0.25
"2021-08-03 06:00:00",231843,12.59,0.775,12.85,1,1.025,0.25
"2021-08-03 06:15:00",231844,12.58,0.776,12.75,1,1.026,0.25
"2021-08-03 06:30:00",231845,12.58,0.778,12.64,1,1.027,0.25
"2021-08-03 06:45:00",231846,12.56,0.777,12.54,1,1.027,0.25
"2021-08-03 07:00:00",231847,12.56,0.778,12.44,1,1.028,0.25
"2021-08-03 07:15:00",231848,12.55,0.777,12.35,1,1.026,0.25
"2021-08-03 07:30:00",231849,12.55,0.778,12.26,1,1.028,0.25
"2021-08-03 07:45:00",231850,12.56,0.778,12.18,1,1.028,0.25
"2021-08-03 08:00:00",231851,12.6,0.779,12.13,1,1.028,0.25
"2021-08-03 08:15:00",231852,12.66,0.779,12.1,1,1.029,0.25
"2021-08-03 08:30:00",231853,12.74,0.777,12.12,1,1.027,0.25
"2021-08-03 08:45:00",231854,12.85,0.778,12.15,1,1.027,0.25
"2021-08-03 09:00:00",231855,12.99,0.779,12.22,1,1.029,0.25
"2021-08-03 09:15:00",231856,13.19,0.779,12.33,1,1.028,0.25
"2021-08-03 09:30:00",231857,13.42,0.779,12.48,1,1.029,0.25
"2021-08-03 09:45:00",231858,13.4,0.779,12.67,1,1.028,0.25
"2021-08-03 10:00:00",231859,13.38,0.778,12.92,1,1.028,0.25
"2021-08-03 10:15:00",231860,13.37,0.779,13.1,1,1.029,0.25
"2021-08-03 10:30:00",231861,13.35,0.778,13.3,1,1.028,0.25
"2021-08-03 10:45:00",231862,13.33,0.779,13.51,1,1.029,0.25
"2021-08-03 11:00:00",231863,13.31,0.779,13.71,1,1.029,0.25
"2021-08-03 11:15:00",231864,13.3,0.778,13.91,1,1.028,0.25
"2021-08-03 11:30:00",231865,13.3,0.777,14.14,1,1.027,0.25
"2021-08-03 11:45:00",231866,13.29,0.778,14.39,1,1.028,0.25
"2021-08-03 12:00:00",231867,13.29,0.776,14.66,1,1.025,0.25
