"TOA5","DanaFk._297","CR800","15297","CR800.Std.11","CPU:DanaFk_downloaded_20210707.cr8","13686","T15min"
"TIMESTAMP","RECORD","BattV","Lvl_ft","Temp_C","Observed","Lvl_ft_corr","Offset"
"TS","RN","Volts","feet","deg C","","feet",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-08-12 13:00:00",232735,13.23,0.65,16.2,1,0.9,0.25
"2021-08-12 13:15:00",232736,13.23,0.65,16.43,1,0.899,0.25
"2021-08-12 13:30:00",232737,13.23,0.651,16.65,1,0.9,0.25
"2021-08-12 13:45:00",232738,13.24,0.65,16.71,1,0.9,0.25
"2021-08-12 14:00:00",232739,13.24,0.651,16.65,1,0.901,0.25
"2021-08-12 14:15:00",232740,13.24,0.65,16.62,1,0.9,0.25
"2021-08-12 14:30:00",232741,13.24,0.65,16.63,1,0.9,0.25
"2021-08-12 14:45:00",232742,13.24,0.65,16.68,1,0.899,0.25
"2021-08-12 15:00:00",232743,13.23,0.65,16.58,1,0.9,0.25
"2021-08-12 15:15:00",232744,13.22,0.649,16.48,1,0.898,0.25
"2021-08-12 15:30:00",232745,13.23,0.649,16.49,1,0.899,0.25
"2021-08-12 15:45:00",232746,13.23,0.649,16.43,1,0.899,0.25
"2021-08-12 16:00:00",232747,13.24,0.648,16.36,1,0.897,0.25
"2021-08-12 16:15:00",232748,13.23,0.649,16.34,1,0.899,0.25
"2021-08-12 16:30:00",232749,13.23,0.647,16.33,1,0.897,0.25
"2021-08-12 16:45:00",232750,13.23,0.647,16.33,1,0.896,0.25
"2021-08-12 17:00:00",232751,13.22,0.646,16.33,1,0.896,0.25
"2021-08-12 17:15:00",232752,13.22,0.646,16.33,1,0.896,0.25
"2021-08-12 17:30:00",232753,13.23,0.643,16.34,1,0.892,0.25
"2021-08-12 17:45:00",232754,13.23,0.643,16.35,1,0.893,0.25
"2021-08-12 18:00:00",232755,13.24,0.641,16.34,1,0.891,0.25
"2021-08-12 18:15:00",232756,13.24,0.64,16.32,1,0.89,0.25
"2021-08-12 18:30:00",232757,13.24,0.64,16.29,1,0.889,0.25
"2021-08-12 18:45:00",232758,13.2,0.638,16.25,1,0.888,0.25
"2021-08-12 19:00:00",232759,13.17,0.638,16.2,1,0.888,0.25
"2021-08-12 19:15:00",232760,13.15,0.636,16.17,1,0.886,0.25
"2021-08-12 19:30:00",232761,13.13,0.635,16.13,1,0.885,0.25
"2021-08-12 19:45:00",232762,13.11,0.634,16.08,1,0.884,0.25
"2021-08-12 20:00:00",232763,13.09,0.633,16.02,1,0.883,0.25
"2021-08-12 20:15:00",232764,13.08,0.633,15.94,1,0.882,0.25
"2021-08-12 20:30:00",232765,13.06,0.631,15.87,1,0.881,0.25
"2021-08-12 20:45:00",232766,13.05,0.631,15.78,1,0.881,0.25
"2021-08-12 21:00:00",232767,13.03,0.631,15.69,1,0.88,0.25
"2021-08-12 21:15:00",232768,13.01,0.629,15.61,1,0.879,0.25
"2021-08-12 21:30:00",232769,13,0.63,15.51,1,0.879,0.25
"2021-08-12 21:45:00",232770,12.98,0.628,15.41,1,0.878,0.25
"2021-08-12 22:00:00",232771,12.97,0.628,15.3,1,0.878,0.25
"2021-08-12 22:15:00",232772,12.96,0.628,15.2,1,0.877,0.25
"2021-08-12 22:30:00",232773,12.95,0.626,15.09,1,0.876,0.25
"2021-08-12 22:45:00",232774,12.93,0.627,14.99,1,0.876,0.25
"2021-08-12 23:00:00",232775,12.92,0.625,14.88,1,0.875,0.25
"2021-08-12 23:15:00",232776,12.91,0.626,14.77,1,0.875,0.25
"2021-08-12 23:30:00",232777,12.9,0.626,14.68,1,0.875,0.25
"2021-08-12 23:45:00",232778,12.89,0.625,14.58,1,0.874,0.25
"2021-08-13 00:00:00",232779,12.88,0.624,14.48,1,0.874,0.25
"2021-08-13 00:15:00",232780,12.86,0.625,14.38,1,0.875,0.25
"2021-08-13 00:30:00",232781,12.85,0.625,14.29,1,0.874,0.25
"2021-08-13 00:45:00",232782,12.84,0.625,14.21,1,0.874,0.25
"2021-08-13 01:00:00",232783,12.83,0.626,14.12,1,0.875,0.25
