"TOA5","DanaFk._297","CR800","15297","CR800.Std.11","CPU:DanaFk_downloaded_20210707.cr8","13686","T15min"
"TIMESTAMP","RECORD","BattV","Lvl_ft","Temp_C","Observed","Lvl_ft_corr","Offset"
"TS","RN","Volts","feet","deg C","","feet",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-09-01 17:00:00",234671,13.2,0.515,15.77,1,0.764,0.25
"2021-09-01 17:15:00",234672,13.19,0.518,15.75,1,0.767,0.25
"2021-09-01 17:30:00",234673,13.17,0.514,15.8,1,0.764,0.25
"2021-09-01 17:45:00",234674,13.15,0.514,15.81,1,0.764,0.25
"2021-09-01 18:00:00",234675,13.13,0.514,15.77,1,0.764,0.25
"2021-09-01 18:15:00",234676,13.11,0.515,15.73,1,0.764,0.25
"2021-09-01 18:30:00",234677,13.1,0.514,15.66,1,0.764,0.25
"2021-09-01 18:45:00",234678,13.08,0.513,15.55,1,0.763,0.25
"2021-09-01 19:00:00",234679,13.07,0.514,15.48,1,0.764,0.25
"2021-09-01 19:15:00",234680,13.05,0.515,15.39,1,0.765,0.25
"2021-09-01 19:30:00",234681,13.03,0.518,15.27,1,0.768,0.25
"2021-09-01 19:45:00",234682,13.02,0.518,15.11,1,0.768,0.25
"2021-09-01 20:00:00",234683,13.01,0.519,14.93,1,0.769,0.25
"2021-09-01 20:15:00",234684,12.99,0.519,14.74,1,0.769,0.25
"2021-09-01 20:30:00",234685,12.98,0.52,14.56,1,0.77,0.25
"2021-09-01 20:45:00",234686,12.96,0.519,14.36,1,0.769,0.25
"2021-09-01 21:00:00",234687,12.95,0.519,14.17,1,0.768,0.25
"2021-09-01 21:15:00",234688,12.94,0.519,13.98,1,0.768,0.25
"2021-09-01 21:30:00",234689,12.93,0.518,13.78,1,0.768,0.25
"2021-09-01 21:45:00",234690,12.92,0.517,13.58,1,0.767,0.25
"2021-09-01 22:00:00",234691,12.91,0.517,13.37,1,0.767,0.25
"2021-09-01 22:15:00",234692,12.89,0.517,13.19,1,0.766,0.25
"2021-09-01 22:30:00",234693,12.88,0.516,12.99,1,0.766,0.25
"2021-09-01 22:45:00",234694,12.87,0.516,12.8,1,0.765,0.25
"2021-09-01 23:00:00",234695,12.86,0.515,12.62,1,0.765,0.25
"2021-09-01 23:15:00",234696,12.85,0.515,12.44,1,0.764,0.25
"2021-09-01 23:30:00",234697,12.84,0.514,12.27,1,0.764,0.25
"2021-09-01 23:45:00",234698,12.82,0.514,12.09,1,0.764,0.25
"2021-09-02 00:00:00",234699,12.81,0.513,11.93,1,0.763,0.25
"2021-09-02 00:15:00",234700,12.8,0.512,11.74,1,0.762,0.25
"2021-09-02 00:30:00",234701,12.79,0.512,11.57,1,0.762,0.25
"2021-09-02 00:45:00",234702,12.78,0.511,11.4,1,0.761,0.25
"2021-09-02 01:00:00",234703,12.77,0.512,11.25,1,0.761,0.25
"2021-09-02 01:15:00",234704,12.75,0.511,11.09,1,0.76,0.25
"2021-09-02 01:30:00",234705,12.74,0.509,10.92,1,0.759,0.25
"2021-09-02 01:45:00",234706,12.73,0.509,10.76,1,0.759,0.25
"2021-09-02 02:00:00",234707,12.72,0.508,10.6,1,0.758,0.25
"2021-09-02 02:15:00",234708,12.71,0.507,10.44,1,0.757,0.25
"2021-09-02 02:30:00",234709,12.7,0.508,10.31,1,0.757,0.25
"2021-09-02 02:45:00",234710,12.69,0.507,10.16,1,0.756,0.25
"2021-09-02 03:00:00",234711,12.68,0.506,10.01,1,0.756,0.25
"2021-09-02 03:15:00",234712,12.67,0.505,9.87,1,0.755,0.25
"2021-09-02 03:30:00",234713,12.66,0.504,9.74,1,0.753,0.25
"2021-09-02 03:45:00",234714,12.65,0.504,9.61,1,0.754,0.25
"2021-09-02 04:00:00",234715,12.64,0.504,9.47,1,0.753,0.25
"2021-09-02 04:15:00",234716,12.63,0.503,9.35,1,0.753,0.25
"2021-09-02 04:30:00",234717,12.62,0.502,9.24,1,0.751,0.25
"2021-09-02 04:45:00",234718,12.61,0.501,9.12,1,0.75,0.25
"2021-09-02 05:00:00",234719,12.6,0.498,8.99,1,0.748,0.25
