"TOA5","TR@120_324_com8","CR1000","50324","CR1000.Std.25","CPU:TUM_Gage10_10852.cr1","17752","T15min"
"TIMESTAMP","RECORD","BattV_Avg","Lvl_ft_1_Avg","Temp_C_1_Avg","Lvl_ft_2_Avg","Temp_C_2_Avg","MedianTurbidity_Avg","VarianceTurbidity_Avg","Temp_C_DTS12_Avg","AvgLvl_Avg","Observed_1","Lvl_ft_1_corr","Offset_1","Observed_2","Lvl_ft_2_corr","Offset_2"
"TS","RN","Volts","feet","deg C","feet","deg C","NTU","NTU","deg C","feet","","feet","","","feet",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-08-12 14:30:00",244000,13.5,3.556,19.8,3.601,19.96,2,0.05,20.2,3.579,2.37,2.655,-0.901,2.37,2.674,-0.927
"2021-08-12 14:45:00",244001,13.44,3.553,19.92,3.6,20.03,0.2,0.024,20.4,3.576,2.37,2.651,-0.901,2.37,2.672,-0.927
"2021-08-12 15:00:00",244002,13.53,3.557,20.05,3.603,20.25,0.43,0.033,20.4,3.58,2.37,2.656,-0.901,2.37,2.676,-0.927
"2021-08-12 15:15:00",244003,13.44,3.557,20.19,3.604,20.32,0.21,0.005,20.6,3.58,2.37,2.656,-0.901,2.37,2.676,-0.927
"2021-08-12 15:30:00",244004,13.39,3.556,20.12,3.603,20.26,0.29,0.034,20.6,3.58,2.37,2.655,-0.901,2.37,2.676,-0.927
"2021-08-12 15:45:00",244005,13.38,3.558,20.09,3.604,20.25,0,0.015,20.4,3.581,2.37,2.657,-0.901,2.37,2.676,-0.927
"2021-08-12 16:00:00",244006,13.39,3.558,20.01,3.603,20.19,0,0.022,20.4,3.58,2.37,2.656,-0.901,2.37,2.676,-0.927
"2021-08-12 16:15:00",244007,13.37,3.556,19.97,3.602,20.13,0.01,0.016,20.3,3.579,2.37,2.655,-0.901,2.37,2.675,-0.927
"2021-08-12 16:30:00",244008,13.34,3.558,19.92,3.604,20.09,0,0.014,20.2,3.581,2.37,2.656,-0.901,2.37,2.676,-0.927
"2021-08-12 16:45:00",244009,13.32,3.557,19.91,3.603,20.05,0,0.015,20.3,3.58,2.37,2.656,-0.901,2.37,2.675,-0.927
"2021-08-12 17:00:00",244010,13.3,3.557,19.84,3.603,19.94,0,0.02,20.2,3.58,2.37,2.656,-0.901,2.37,2.675,-0.927
"2021-08-12 17:15:00",244011,13.21,3.559,19.75,3.605,19.88,0.04,0.032,20.2,3.582,2.37,2.658,-0.901,2.37,2.677,-0.927
"2021-08-12 17:30:00",244012,13.27,3.559,19.83,3.604,19.96,0.08,0.018,20.2,3.582,2.37,2.658,-0.901,2.37,2.677,-0.927
"2021-08-12 17:45:00",244013,13.27,3.559,19.78,3.604,19.92,0,0.015,20.1,3.581,2.37,2.658,-0.901,2.37,2.677,-0.927
"2021-08-12 18:00:00",244014,13.26,3.56,19.6,3.605,19.74,0.03,0.014,20,3.583,2.37,2.659,-0.901,2.37,2.678,-0.927
"2021-08-12 18:15:00",244015,13.24,3.562,19.49,3.607,19.64,0.02,0.01,19.8,3.584,2.37,2.661,-0.901,2.37,2.679,-0.927
"2021-08-12 18:30:00",244016,13.22,3.563,19.4,3.608,19.54,0.05,0.021,19.7,3.585,2.37,2.662,-0.901,2.37,2.68,-0.927
"2021-08-12 18:45:00",244017,13.19,3.563,19.26,3.609,19.42,0.11,0.007,19.5,3.586,2.37,2.662,-0.901,2.37,2.681,-0.927
"2021-08-12 19:00:00",244018,13.16,3.563,19.11,3.608,19.26,0.15,0.016,19.3,3.586,2.37,2.662,-0.901,2.37,2.68,-0.927
"2021-08-12 19:15:00",244019,13.13,3.564,18.97,3.608,19.1,0.1,0.033,19.2,3.586,2.37,2.663,-0.901,2.37,2.68,-0.927
"2021-08-12 19:30:00",244020,13.1,3.564,18.8,3.607,18.95,0.25,0.008,19,3.586,2.37,2.662,-0.901,2.37,2.68,-0.927
"2021-08-12 19:45:00",244021,13.06,3.564,18.64,3.608,18.78,0.34,0.41,18.8,3.586,2.37,2.663,-0.901,2.37,2.681,-0.927
"2021-08-12 20:00:00",244022,13.03,3.565,18.46,3.609,18.61,0.13,0.016,18.7,3.587,2.37,2.664,-0.901,2.37,2.681,-0.927
"2021-08-12 20:15:00",244023,13,3.565,18.29,3.609,18.43,0.18,0.026,18.5,3.587,2.37,2.664,-0.901,2.37,2.682,-0.927
"2021-08-12 20:30:00",244024,12.98,3.566,18.14,3.609,18.28,0.29,0.006,18.3,3.587,2.37,2.665,-0.901,2.37,2.681,-0.927
"2021-08-12 20:45:00",244025,12.95,3.566,17.94,3.609,18.08,0.3,0.009,18.1,3.588,2.37,2.665,-0.901,2.37,2.682,-0.927
"2021-08-12 21:00:00",244026,12.94,3.565,17.76,3.608,17.9,0.31,0.03,17.9,3.587,2.37,2.664,-0.901,2.37,2.68,-0.927
"2021-08-12 21:15:00",244027,12.91,3.567,17.57,3.609,17.71,0.26,0.006,17.7,3.588,2.37,2.666,-0.901,2.37,2.681,-0.927
"2021-08-12 21:30:00",244028,12.89,3.567,17.42,3.609,17.55,0.31,0.002,17.6,3.588,2.37,2.666,-0.901,2.37,2.681,-0.927
"2021-08-12 21:45:00",244029,12.87,3.565,17.25,3.607,17.39,0.34,0.017,17.4,3.586,2.37,2.664,-0.901,2.37,2.68,-0.927
"2021-08-12 22:00:00",244030,12.85,3.566,17.07,3.608,17.21,0.37,0.01,17.2,3.587,2.37,2.665,-0.901,2.37,2.681,-0.927
"2021-08-12 22:15:00",244031,12.83,3.566,16.91,3.608,17.04,0.39,0.003,17,3.587,2.37,2.665,-0.901,2.37,2.68,-0.927
"2021-08-12 22:30:00",244032,12.81,3.565,16.73,3.607,16.87,0.38,0.006,16.9,3.586,2.37,2.664,-0.901,2.37,2.68,-0.927
"2021-08-12 22:45:00",244033,12.8,3.565,16.58,3.606,16.71,0.43,0.013,16.7,3.586,2.37,2.664,-0.901,2.37,2.679,-0.927
"2021-08-12 23:00:00",244034,12.78,3.565,16.44,3.606,16.57,0.4,0.007,16.6,3.585,2.37,2.663,-0.901,2.37,2.678,-0.927
"2021-08-12 23:15:00",244035,12.76,3.564,16.29,3.605,16.42,0.52,0.045,16.4,3.584,2.37,2.663,-0.901,2.37,2.677,-0.927
"2021-08-12 23:30:00",244036,12.74,3.564,16.15,3.605,16.28,0.43,0.011,16.3,3.585,2.37,2.663,-0.901,2.37,2.677,-0.927
"2021-08-12 23:45:00",244037,12.73,3.563,16.02,3.604,16.15,0.43,0.004,16.1,3.583,2.37,2.662,-0.901,2.37,2.676,-0.927
"2021-08-13 00:00:00",244038,12.72,3.563,15.87,3.602,16,0.45,0.008,16,3.582,2.37,2.661,-0.901,2.37,2.675,-0.927
"2021-08-13 00:15:00",244039,12.7,3.561,15.75,3.6,15.88,0.42,0.004,15.9,3.581,2.37,2.66,-0.901,2.37,2.673,-0.927
"2021-08-13 00:30:00",244040,12.68,3.56,15.63,3.6,15.76,0.5,0.049,15.7,3.58,2.37,2.659,-0.901,2.37,2.672,-0.927
"2021-08-13 00:45:00",244041,12.67,3.56,15.51,3.599,15.63,0.5,0.01,15.6,3.579,2.37,2.659,-0.901,2.37,2.671,-0.927
