date_time(UTC:PDT+7),raw_pressure(cm),barocorrected_pressure(cm),water_temperature(deg_C),discharge_flag
2018-08-01 17:30:00,786.83,22.82601745605473,10.985,0
2018-08-01 18:00:00,786.87,22.478032226562505,11.196,0
2018-08-01 18:30:00,786.89,22.476364746093736,11.467,0
2018-08-01 19:00:00,786.83,22.39469726562504,11.845,0
2018-08-01 19:30:00,786.59,22.133029785156282,12.105,0
2018-08-01 20:00:00,786.57,22.09136230468755,12.132,0
2018-08-01 20:30:00,786.36,21.859694824218764,12.411,0
2018-08-01 21:00:00,786.29,21.768027343749964,12.317,0
2018-08-01 21:30:00,785.97,21.426359863281277,12.284,0
2018-08-01 22:00:00,785.98,21.414692382812518,12.365,0
2018-08-01 22:30:00,785.68,21.0930249023437,12.659,0
2018-08-01 23:00:00,785.57,20.96135742187505,12.828,0
2018-08-01 23:30:00,785.34,20.709689941406282,12.8,0
2018-08-02 00:00:00,785.3,20.648022460937455,12.603,0
2018-08-02 00:30:00,785.34,21.097456461588536,12.439,0
2018-08-02 01:00:00,785.38,21.546890462239617,12.347,0
2018-08-02 01:30:00,785.5,22.076324462890625,12.221,0
2018-08-02 02:00:00,785.54,22.525758463541592,12.112,0
2018-08-02 02:30:00,785.66,23.055192464192714,12.01,0
2018-08-02 03:00:00,785.83,23.63462646484379,11.93,0
2018-08-02 03:30:00,786.09,24.304060465494786,11.913,0
2018-08-02 04:00:00,786.37,24.993494466145876,11.848,0
2018-08-02 04:30:00,786.73,25.762928466796893,11.781,0
2018-08-02 05:00:00,786.96,26.402362467447915,11.729,0
2018-08-02 05:30:00,787.0,26.851796468098996,11.678,0
2018-08-02 06:00:00,786.98,27.241230468750018,11.621,0
2018-08-02 06:30:00,786.88,27.25722778320312,11.57,0
2018-08-02 07:00:00,786.95,27.443225097656295,11.5,0
2018-08-02 07:30:00,786.98,27.589222412109393,11.44,0
2018-08-02 08:00:00,786.8,27.525219726562455,11.382,0
2018-08-02 08:30:00,786.73,27.571217041015643,11.302,0
2018-08-02 09:00:00,786.67,27.62721435546871,11.202,0
2018-08-02 09:30:00,786.59,27.663211669921907,11.136,0
2018-08-02 10:00:00,786.47,27.659208984375027,11.062,0
2018-08-02 10:30:00,786.25,27.555206298828125,10.978,0
2018-08-02 11:00:00,786.11,27.531203613281264,10.904,0
2018-08-02 11:30:00,786.12,27.65720092773438,10.837,0
2018-08-02 12:00:00,786.04,27.693198242187464,10.742,0
2018-08-02 12:30:00,786.01,27.255783487955682,10.657,0
2018-08-02 13:00:00,785.97,26.808368733724024,10.6,0
2018-08-02 13:30:00,786.06,26.490953979492133,10.559,0
2018-08-02 14:00:00,786.1,26.1235392252604,10.481,0
2018-08-02 14:30:00,786.1,25.716124471028706,10.413,0
2018-08-02 15:00:00,786.09,25.298709716796907,10.397,0
2018-08-02 15:30:00,786.11,24.91129496256508,10.416,0
2018-08-02 16:00:00,786.04,24.433880208333335,10.532,0
2018-08-02 16:30:00,785.88,23.866465454101558,10.597,0
2018-08-02 17:00:00,785.69,23.26905069986981,10.772,0
2018-08-02 17:30:00,785.68,22.85163594563801,10.88,0
2018-08-02 18:00:00,785.76,22.52422119140624,11.03,0
2018-08-02 18:30:00,785.79,22.57136189778646,11.274,0
2018-08-02 19:00:00,785.51,22.30850260416662,11.587,0
2018-08-02 19:30:00,785.31,22.12564331054682,11.941,0
2018-08-02 20:00:00,785.36,22.192784016927135,12.159,0
2018-08-02 20:30:00,785.32,22.169924723307304,12.407,0
2018-08-02 21:00:00,785.21,22.077065429687536,12.363,0
2018-08-02 21:30:00,785.12,22.00420613606775,12.222,0
2018-08-02 22:00:00,784.91,21.811346842447847,12.113,0
2018-08-02 22:30:00,784.68,21.598487548828075,12.022,0
2018-08-02 23:00:00,784.6,21.535628255208394,12.028,0
2018-08-02 23:30:00,784.4,21.35276896158848,11.941,0
2018-08-03 00:00:00,784.23,21.199909667968768,11.877,0
2018-08-03 00:30:00,784.05,21.35923970540364,11.848,0
2018-08-03 01:00:00,784.14,21.78856974283849,11.861,0
2018-08-03 01:30:00,783.9,21.887899780273415,11.883,0
2018-08-03 02:00:00,783.97,22.2972298177084,11.738,0
2018-08-03 02:30:00,784.12,22.786559855143196,11.621,0
2018-08-03 03:00:00,784.4,23.405889892578102,11.49,0
2018-08-03 03:30:00,784.8,24.145219930013013,11.39,0
2018-08-03 04:00:00,785.1,24.7845499674479,11.248,0
2018-08-03 04:30:00,785.33,25.353880004882853,11.083,0
2018-08-03 05:00:00,785.62,25.98321004231775,10.987,0
2018-08-03 05:30:00,785.63,26.33254007975256,10.887,0
2018-08-03 06:00:00,785.63,26.671870117187495,10.764,0
2018-08-03 06:30:00,785.72,26.952345581054715,10.66,0
2018-08-03 07:00:00,785.75,27.172821044921875,10.581,0
2018-08-03 07:30:00,785.72,27.33329650878909,10.501,0
2018-08-03 08:00:00,785.6,27.403771972656273,10.432,0
2018-08-03 08:30:00,785.52,27.51424743652342,10.334,0
2018-08-03 09:00:00,785.49,27.674722900390634,10.225,0
2018-08-03 09:30:00,785.41,27.78519836425778,10.132,0
2018-08-03 10:00:00,785.37,27.935673828125005,10.053,0
2018-08-03 10:30:00,785.33,28.08614929199223,9.96,0
2018-08-03 11:00:00,785.17,28.116624755859334,9.864,0
2018-08-03 11:30:00,785.14,28.27710021972655,9.77,0
2018-08-03 12:00:00,785.15,28.477575683593727,9.646,0
2018-08-03 12:30:00,785.06,27.90579976399738,9.578,0
2018-08-03 13:00:00,785.24,27.604023844401013,9.485,0
2018-08-03 13:30:00,785.42,27.302247924804647,9.401,0
2018-08-03 14:00:00,785.63,27.030472005208367,9.29,0
2018-08-03 14:30:00,785.79,26.708696085611905,9.192,0
2018-08-03 15:00:00,785.8,26.23692016601558,9.127,0
2018-08-03 15:30:00,785.84,25.79514424641934,9.126,0
2018-08-03 16:00:00,785.79,25.263368326822842,9.184,0
2018-08-03 16:30:00,785.68,24.671592407226512,9.322,0
2018-08-03 17:00:00,785.56,24.06981648763019,9.49,0
2018-08-03 17:30:00,785.51,23.538040568033807,9.649,0
2018-08-03 18:00:00,785.61,23.156264648437514,9.83,0
2018-08-03 18:30:00,785.64,23.10064249674474,10.12,0
2018-08-03 19:00:00,785.51,22.885020345052112,10.507,0
2018-08-03 19:30:00,785.33,22.619398193359416,10.864,0
2018-08-03 20:00:00,785.44,22.643776041666683,11.091,0
