Date_Time,lvl_cm,temp_C
2018-09-25 18:02:31,760.02,19.15
2018-09-25 18:32:31,773.25,7.386
2018-09-25 19:02:31,773.22,7.405
2018-09-25 19:32:31,773.2,7.656
2018-09-25 20:02:31,773.13,7.976
2018-09-25 20:32:31,772.88,8.369
2018-09-25 21:02:31,772.74,8.813
2018-09-25 21:32:31,772.46,9.27
2018-09-25 22:02:31,772.49,9.679
2018-09-25 22:32:31,772.58,10.049
2018-09-25 23:02:31,772.62,10.38
2018-09-25 23:32:31,772.97,10.669
2018-09-26 00:02:31,773.19,10.897
2018-09-26 00:32:31,773.34,11.058
2018-09-26 01:02:31,773.48,11.147
2018-09-26 01:32:31,773.61,11.164
2018-09-26 02:02:31,773.79,11.112
2018-09-26 02:32:31,774.05,10.999
2018-09-26 03:02:31,774.24,10.836
2018-09-26 03:32:31,774.18,10.632
2018-09-26 04:02:31,774.35,10.397
2018-09-26 04:32:31,774.38,10.146
2018-09-26 05:02:31,774.27,9.887
2018-09-26 05:32:31,774.37,9.626
2018-09-26 06:02:31,774.55,9.361
2018-09-26 06:32:31,774.57,9.1
2018-09-26 07:02:31,774.66,8.845
2018-09-26 07:32:31,774.85,8.6
2018-09-26 08:02:31,774.94,8.367
2018-09-26 08:32:31,775.02,8.149
2018-09-26 09:02:31,775.02,7.943
2018-09-26 09:32:31,775.22,7.751
2018-09-26 10:02:31,775.17,7.581
2018-09-26 10:32:31,775.11,7.425
2018-09-26 11:02:31,775.1,7.272
2018-09-26 11:32:31,775.25,7.131
2018-09-26 12:02:31,775.32,6.999
2018-09-26 12:32:31,775.4,6.869
2018-09-26 13:02:31,775.53,6.742
2018-09-26 13:32:31,775.7,6.619
2018-09-26 14:02:31,775.87,6.499
2018-09-26 14:32:31,776.0,6.38
2018-09-26 15:02:31,776.03,6.268
2018-09-26 15:32:31,776.25,6.168
2018-09-26 16:02:31,776.33,6.107
2018-09-26 16:32:31,776.39,6.226
2018-09-26 17:02:31,776.45,6.521
2018-09-26 17:32:31,776.5,6.741
2018-09-26 18:02:31,776.36,6.91
2018-09-26 18:32:31,776.23,7.09
2018-09-26 19:02:31,776.09,7.343
2018-09-26 19:32:31,776.01,7.65
2018-09-26 20:02:31,775.84,8.028
2018-09-26 20:32:31,775.84,8.449
2018-09-26 21:02:31,775.72,8.928
2018-09-26 21:32:31,775.59,9.391
2018-09-26 22:02:31,775.48,9.824
