Serial_number:   
2004212   
Project ID:   
L2004212   
Location:   
Lyell_Fk_abv_Twin_Br_Stilling_Tu
LEVEL   
UNIT: cm   
Offset: 0.000000 cm   
TEMPERATURE   
UNIT: °C   
Date,Time,ms,LEVEL (cm),TEMPERATURE 
7/25/2018,7:00:00 PM,0,815.33,13.475 
7/25/2018,7:30:00 PM,0,815.22,13.235 
7/25/2018,8:00:00 PM,0,814.96,13.209 
7/25/2018,8:30:00 PM,0,814.65,13.301 
7/25/2018,9:00:00 PM,0,814.43,13.492 
7/25/2018,9:30:00 PM,0,814.2,13.696 
7/25/2018,10:00:00 PM,0,813.94,13.866 
7/25/2018,10:30:00 PM,0,813.83,14.046 
7/25/2018,11:00:00 PM,0,813.71,14.13 
7/25/2018,11:30:00 PM,0,813.36,14.234 
7/26/2018,12:00:00 AM,0,813.21,14.289 
7/26/2018,12:30:00 AM,0,813,14.301 
7/26/2018,1:00:00 AM,0,812.73,14.29 
7/26/2018,1:30:00 AM,0,812.59,14.209 
7/26/2018,2:00:00 AM,0,812.47,14.137 
7/26/2018,2:30:00 AM,0,812.38,14.133 
7/26/2018,3:00:00 AM,0,812.38,14.075 
7/26/2018,3:30:00 AM,0,812.62,14.023 
7/26/2018,4:00:00 AM,0,812.52,13.984 
7/26/2018,4:30:00 AM,0,812.5,13.927 
7/26/2018,5:00:00 AM,0,812.5,13.915 
7/26/2018,5:30:00 AM,0,812.42,13.906 
7/26/2018,6:00:00 AM,0,812.2,13.84 
7/26/2018,6:30:00 AM,0,811.99,13.796 
7/26/2018,7:00:00 AM,0,812.01,13.748 
7/26/2018,7:30:00 AM,0,811.92,13.694 
7/26/2018,8:00:00 AM,0,811.96,13.66 
7/26/2018,8:30:00 AM,0,811.9,13.573 
7/26/2018,9:00:00 AM,0,811.87,13.498 
7/26/2018,9:30:00 AM,0,811.9,13.429 
7/26/2018,10:00:00 AM,0,811.95,13.344 
7/26/2018,10:30:00 AM,0,811.79,13.247 
7/26/2018,11:00:00 AM,0,811.94,13.108 
7/26/2018,11:30:00 AM,0,812.01,12.919 
7/26/2018,12:00:00 PM,0,812.24,12.774 
7/26/2018,12:30:00 PM,0,812.28,12.612 
7/26/2018,1:00:00 PM,0,812.52,12.466 
7/26/2018,1:30:00 PM,0,812.53,12.334 
7/26/2018,2:00:00 PM,0,812.49,12.193 
7/26/2018,2:30:00 PM,0,812.53,12.126 
7/26/2018,3:00:00 PM,0,812.36,12.09 
7/26/2018,3:30:00 PM,0,812.32,12.087 
7/26/2018,4:00:00 PM,0,812.1,12.124 
7/26/2018,4:30:00 PM,0,812,12.179 
7/26/2018,5:00:00 PM,0,811.87,12.241 
7/26/2018,5:30:00 PM,0,811.89,12.315 
7/26/2018,6:00:00 PM,0,811.91,12.39 
7/26/2018,6:30:00 PM,0,812.18,12.457 
7/26/2018,7:00:00 PM,0,812.03,12.483 
7/26/2018,7:30:00 PM,0,812.12,12.523 
7/26/2018,8:00:00 PM,0,811.82,12.579 
7/26/2018,8:30:00 PM,0,811.37,12.626 
7/26/2018,9:00:00 PM,0,811.2,12.642 
7/26/2018,9:30:00 PM,0,811.03,12.683 
7/26/2018,10:00:00 PM,0,810.91,12.759 
7/26/2018,10:30:00 PM,0,810.45,12.86 
7/26/2018,11:00:00 PM,0,810.15,12.951 
7/26/2018,11:30:00 PM,0,810.01,13.028 
7/27/2018,12:00:00 AM,0,809.9,13.136 
7/27/2018,12:30:00 AM,0,809.97,13.224 
7/27/2018,1:00:00 AM,0,810.22,13.28 
7/27/2018,1:30:00 AM,0,810.61,13.256 
7/27/2018,2:00:00 AM,0,810.63,13.231 
7/27/2018,2:30:00 AM,0,810.53,13.204 
7/27/2018,3:00:00 AM,0,810.5,13.145 
7/27/2018,3:30:00 AM,0,810.36,13.124 
7/27/2018,4:00:00 AM,0,810.45,13.099 
7/27/2018,4:30:00 AM,0,810.7,13.071 
7/27/2018,5:00:00 AM,0,811.44,13.05 
7/27/2018,5:30:00 AM,0,812.42,13.045 
7/27/2018,6:00:00 AM,0,813.34,12.993 
7/27/2018,6:30:00 AM,0,813.87,12.945 
7/27/2018,7:00:00 AM,0,814.08,12.883 
7/27/2018,7:30:00 AM,0,814.22,12.815 
7/27/2018,8:00:00 AM,0,813.92,12.725 
7/27/2018,8:30:00 AM,0,813.83,12.61 
7/27/2018,9:00:00 AM,0,813.53,12.442 
7/27/2018,9:30:00 AM,0,813.25,12.259 
7/27/2018,10:00:00 AM,0,813.1,12.061 
7/27/2018,10:30:00 AM,0,812.82,11.861 
7/27/2018,11:00:00 AM,0,812.51,11.681 
7/27/2018,11:30:00 AM,0,812.32,11.556 
7/27/2018,12:00:00 PM,0,812.07,11.41 
7/27/2018,12:30:00 PM,0,812.23,11.289 
7/27/2018,1:00:00 PM,0,812.17,11.148 
7/27/2018,1:30:00 PM,0,812.09,11.028 
7/27/2018,2:00:00 PM,0,811.89,10.928 
7/27/2018,2:30:00 PM,0,811.8,10.853 
7/27/2018,3:00:00 PM,0,811.76,10.817 
7/27/2018,3:30:00 PM,0,811.47,10.812 
7/27/2018,4:00:00 PM,0,811.32,10.857 
7/27/2018,4:30:00 PM,0,811.21,10.95 
7/27/2018,5:00:00 PM,0,810.87,11.064 
7/27/2018,5:30:00 PM,0,810.81,11.192 
7/27/2018,6:00:00 PM,0,810.66,11.332 
7/27/2018,6:30:00 PM,0,810.71,11.498 
7/27/2018,7:00:00 PM,0,810.53,11.706 
7/27/2018,7:30:00 PM,0,810.32,11.963 
