Serial_number:,,,,
2004265,,,,
Project ID:,,,,
L2004265,,,,
Location:,,,,
Budd_Ck_btw_Culvert_and_Side_Cha,,,,
LEVEL,,,,
UNIT: cm,,,,
Offset: 0.000000 cm,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
7/25/2018,10:00:00 PM,0,790.05,13.627
7/25/2018,10:30:00 PM,0,790,13.054
7/25/2018,11:00:00 PM,0,789.86,12.897
7/25/2018,11:30:00 PM,0,789.8,12.515
7/26/2018,12:00:00 AM,0,789.84,12.178
7/26/2018,12:30:00 AM,0,789.93,11.983
7/26/2018,1:00:00 AM,0,789.85,11.956
7/26/2018,1:30:00 AM,0,789.87,11.89
7/26/2018,2:00:00 AM,0,789.99,11.85
7/26/2018,2:30:00 AM,0,790.14,11.827
7/26/2018,3:00:00 AM,0,790.52,11.782
7/26/2018,3:30:00 AM,0,790.99,11.741
7/26/2018,4:00:00 AM,0,791.18,11.653
7/26/2018,4:30:00 AM,0,791.42,11.596
7/26/2018,5:00:00 AM,0,791.6,11.492
7/26/2018,5:30:00 AM,0,791.77,11.427
7/26/2018,6:00:00 AM,0,791.6,11.33
7/26/2018,6:30:00 AM,0,791.61,11.253
7/26/2018,7:00:00 AM,0,791.62,11.164
7/26/2018,7:30:00 AM,0,791.51,11.048
7/26/2018,8:00:00 AM,0,791.59,10.94
7/26/2018,8:30:00 AM,0,791.45,10.833
7/26/2018,9:00:00 AM,0,791.24,10.737
7/26/2018,9:30:00 AM,0,790.9,10.643
7/26/2018,10:00:00 AM,0,790.79,10.555
7/26/2018,10:30:00 AM,0,790.49,10.465
7/26/2018,11:00:00 AM,0,790.46,10.354
7/26/2018,11:30:00 AM,0,790.29,10.283
7/26/2018,12:00:00 PM,0,790.38,10.188
7/26/2018,12:30:00 PM,0,790.29,10.115
7/26/2018,1:00:00 PM,0,790.33,10.047
7/26/2018,1:30:00 PM,0,790.31,9.98
7/26/2018,2:00:00 PM,0,790.24,9.918
7/26/2018,2:30:00 PM,0,790.28,9.889
7/26/2018,3:00:00 PM,0,790.17,9.907
7/26/2018,3:30:00 PM,0,790.06,9.946
7/26/2018,4:00:00 PM,0,789.9,10.009
7/26/2018,4:30:00 PM,0,789.87,10.122
7/26/2018,5:00:00 PM,0,789.75,10.269
7/26/2018,5:30:00 PM,0,789.65,10.475
7/26/2018,6:00:00 PM,0,789.68,10.722
7/26/2018,6:30:00 PM,0,789.8,10.746
7/26/2018,7:00:00 PM,0,789.7,10.768
7/26/2018,7:30:00 PM,0,789.68,10.889
7/26/2018,8:00:00 PM,0,789.41,11.374
7/26/2018,8:30:00 PM,0,788.98,11.993
7/26/2018,9:00:00 PM,0,788.94,12.535
7/26/2018,9:30:00 PM,0,788.59,12.786
7/26/2018,10:00:00 PM,0,788.7,13.041
7/26/2018,10:30:00 PM,0,788.42,13.088
7/26/2018,11:00:00 PM,0,788.14,13.013
7/26/2018,11:30:00 PM,0,788.05,12.788
7/27/2018,12:00:00 AM,0,788.02,12.48
7/27/2018,12:30:00 AM,0,788.02,12.274
7/27/2018,1:00:00 AM,0,788.12,12.098
7/27/2018,1:30:00 AM,0,788.78,12.066
7/27/2018,2:00:00 AM,0,788.77,12.085
7/27/2018,2:30:00 AM,0,788.98,12.036
7/27/2018,3:00:00 AM,0,788.99,11.949
7/27/2018,3:30:00 AM,0,789.05,11.85
7/27/2018,4:00:00 AM,0,789.25,11.784
7/27/2018,4:30:00 AM,0,789.49,11.704
