Serial_number:
2042764
Project ID:

Location:
Delaney_Ck_abv_PCT
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/1/2018,07:00:10 pm,0,762.92,19.468
8/1/2018,07:30:10 pm,0,818.28,14.844
8/1/2018,08:00:10 pm,0,818.14,15.327
8/1/2018,08:30:10 pm,0,818.08,15.756
8/1/2018,09:00:10 pm,0,817.97,16.110
8/1/2018,09:30:10 pm,0,817.62,16.344
8/1/2018,10:00:10 pm,0,817.61,16.560
8/1/2018,10:30:10 pm,0,817.42,16.737
8/1/2018,11:00:10 pm,0,817.24,16.872
8/1/2018,11:30:10 pm,0,817.00,16.911
8/2/2018,12:00:10 am,0,816.89,16.861
8/2/2018,12:30:10 am,0,816.87,16.755
8/2/2018,01:00:10 am,0,816.76,16.640
8/2/2018,01:30:10 am,0,816.80,16.477
8/2/2018,02:00:10 am,0,816.75,16.289
8/2/2018,02:30:10 am,0,816.65,16.126
8/2/2018,03:00:10 am,0,816.65,15.963
8/2/2018,03:30:10 am,0,816.76,15.800
8/2/2018,04:00:10 am,0,816.85,15.637
8/2/2018,04:30:10 am,0,817.10,15.434
8/2/2018,05:00:10 am,0,817.18,15.211
8/2/2018,05:30:10 am,0,817.11,14.979
8/2/2018,06:00:10 am,0,817.09,14.749
8/2/2018,06:30:10 am,0,817.02,14.519
8/2/2018,07:00:10 am,0,816.92,14.298
8/2/2018,07:30:10 am,0,816.98,14.085
8/2/2018,08:00:10 am,0,816.89,13.881
8/2/2018,08:30:10 am,0,816.80,13.682
8/2/2018,09:00:10 am,0,816.74,13.496
8/2/2018,09:30:10 am,0,816.68,13.325
8/2/2018,10:00:10 am,0,816.67,13.163
8/2/2018,10:30:10 am,0,816.47,13.010
8/2/2018,11:00:10 am,0,816.40,12.864
8/2/2018,11:30:10 am,0,816.49,12.718
8/2/2018,12:00:10 pm,0,816.46,12.582
8/2/2018,12:30:10 pm,0,816.49,12.445
8/2/2018,01:00:10 pm,0,816.52,12.325
8/2/2018,01:30:10 pm,0,816.68,12.209
8/2/2018,02:00:10 pm,0,816.81,12.113
8/2/2018,02:30:10 pm,0,816.79,12.045
8/2/2018,03:00:10 pm,0,816.85,12.026
8/2/2018,03:30:10 pm,0,816.96,12.054
8/2/2018,04:00:10 pm,0,816.96,12.146
8/2/2018,04:30:10 pm,0,816.79,12.312
8/2/2018,05:00:10 pm,0,816.73,12.550
8/2/2018,05:30:10 pm,0,816.79,12.762
8/2/2018,06:00:10 pm,0,816.90,13.041
8/2/2018,06:30:10 pm,0,816.99,13.514
8/2/2018,07:00:10 pm,0,816.79,13.997
8/2/2018,07:30:10 pm,0,816.63,14.430
8/2/2018,08:00:10 pm,0,816.62,14.898
8/2/2018,08:30:10 pm,0,816.68,15.198
8/2/2018,09:00:10 pm,0,816.59,15.347
8/2/2018,09:30:10 pm,0,816.40,15.410
8/2/2018,10:00:10 pm,0,816.21,15.465
8/2/2018,10:30:10 pm,0,816.04,15.483
8/2/2018,11:00:10 pm,0,815.96,15.511
8/2/2018,11:30:10 pm,0,815.75,15.539
8/3/2018,12:00:10 am,0,815.62,15.553
8/3/2018,12:30:10 am,0,815.36,15.529
8/3/2018,01:00:10 am,0,815.34,15.441
8/3/2018,01:30:10 am,0,815.10,15.309
8/3/2018,02:00:10 am,0,815.04,15.157
8/3/2018,02:30:10 am,0,815.09,15.007
8/3/2018,03:00:10 am,0,815.28,14.830
8/3/2018,03:30:10 am,0,815.55,14.631
8/3/2018,04:00:10 am,0,815.74,14.425
8/3/2018,04:30:10 am,0,815.88,14.196
8/3/2018,05:00:10 am,0,816.04,13.965
8/3/2018,05:30:10 am,0,815.98,13.715
8/3/2018,06:00:10 am,0,815.89,13.469
8/3/2018,06:30:10 am,0,815.92,13.217
8/3/2018,07:00:10 am,0,815.96,12.971
8/3/2018,07:30:10 am,0,815.80,12.742
8/3/2018,08:00:10 am,0,815.69,12.511
8/3/2018,08:30:10 am,0,815.58,12.291
8/3/2018,09:00:10 am,0,815.60,12.082
8/3/2018,09:30:10 am,0,815.47,11.882
8/3/2018,10:00:10 am,0,815.46,11.693
8/3/2018,10:30:10 am,0,815.41,11.498
8/3/2018,11:00:10 am,0,815.30,11.314
8/3/2018,11:30:10 am,0,815.26,11.127
8/3/2018,12:00:10 pm,0,815.29,10.932
8/3/2018,12:30:10 pm,0,815.27,10.749
8/3/2018,01:00:10 pm,0,815.51,10.565
8/3/2018,01:30:10 pm,0,815.77,10.384
8/3/2018,02:00:10 pm,0,816.03,10.216
8/3/2018,02:30:10 pm,0,816.25,10.057
8/3/2018,03:00:10 pm,0,816.36,9.926
8/3/2018,03:30:10 pm,0,816.46,9.851
8/3/2018,04:00:10 pm,0,816.42,9.881
