Serial_number:
2065011
Project ID:

Location:
Dana_Fk
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
9/25/2018,06:02:31 pm,0,760.02,19.150
9/25/2018,06:32:31 pm,0,773.25,7.386
9/25/2018,07:02:31 pm,0,773.22,7.405
9/25/2018,07:32:31 pm,0,773.20,7.656
9/25/2018,08:02:31 pm,0,773.13,7.976
9/25/2018,08:32:31 pm,0,772.88,8.369
9/25/2018,09:02:31 pm,0,772.74,8.813
9/25/2018,09:32:31 pm,0,772.46,9.270
9/25/2018,10:02:31 pm,0,772.49,9.679
9/25/2018,10:32:31 pm,0,772.58,10.049
9/25/2018,11:02:31 pm,0,772.62,10.380
9/25/2018,11:32:31 pm,0,772.97,10.669
9/26/2018,12:02:31 am,0,773.19,10.897
9/26/2018,12:32:31 am,0,773.34,11.058
9/26/2018,01:02:31 am,0,773.48,11.147
9/26/2018,01:32:31 am,0,773.61,11.164
9/26/2018,02:02:31 am,0,773.79,11.112
9/26/2018,02:32:31 am,0,774.05,10.999
9/26/2018,03:02:31 am,0,774.24,10.836
9/26/2018,03:32:31 am,0,774.18,10.632
9/26/2018,04:02:31 am,0,774.35,10.397
9/26/2018,04:32:31 am,0,774.38,10.146
9/26/2018,05:02:31 am,0,774.27,9.887
9/26/2018,05:32:31 am,0,774.37,9.626
9/26/2018,06:02:31 am,0,774.55,9.361
9/26/2018,06:32:31 am,0,774.57,9.100
9/26/2018,07:02:31 am,0,774.66,8.845
9/26/2018,07:32:31 am,0,774.85,8.600
9/26/2018,08:02:31 am,0,774.94,8.367
9/26/2018,08:32:31 am,0,775.02,8.149
9/26/2018,09:02:31 am,0,775.02,7.943
9/26/2018,09:32:31 am,0,775.22,7.751
9/26/2018,10:02:31 am,0,775.17,7.581
9/26/2018,10:32:31 am,0,775.11,7.425
9/26/2018,11:02:31 am,0,775.10,7.272
9/26/2018,11:32:31 am,0,775.25,7.131
9/26/2018,12:02:31 pm,0,775.32,6.999
9/26/2018,12:32:31 pm,0,775.40,6.869
9/26/2018,01:02:31 pm,0,775.53,6.742
9/26/2018,01:32:31 pm,0,775.70,6.619
9/26/2018,02:02:31 pm,0,775.87,6.499
9/26/2018,02:32:31 pm,0,776.00,6.380
9/26/2018,03:02:31 pm,0,776.03,6.268
9/26/2018,03:32:31 pm,0,776.25,6.168
9/26/2018,04:02:31 pm,0,776.33,6.107
9/26/2018,04:32:31 pm,0,776.39,6.226
9/26/2018,05:02:31 pm,0,776.45,6.521
9/26/2018,05:32:31 pm,0,776.50,6.741
9/26/2018,06:02:31 pm,0,776.36,6.910
9/26/2018,06:32:31 pm,0,776.23,7.090
9/26/2018,07:02:31 pm,0,776.09,7.343
9/26/2018,07:32:31 pm,0,776.01,7.650
9/26/2018,08:02:31 pm,0,775.84,8.028
9/26/2018,08:32:31 pm,0,775.84,8.449
9/26/2018,09:02:31 pm,0,775.72,8.928
9/26/2018,09:32:31 pm,0,775.59,9.391
9/26/2018,10:02:31 pm,0,775.48,9.824
9/26/2018,10:32:31 pm,0,775.35,10.204
9/26/2018,11:02:31 pm,0,775.24,10.548
9/26/2018,11:32:31 pm,0,775.23,10.849
9/27/2018,12:02:31 am,0,775.08,11.082
9/27/2018,12:32:31 am,0,775.18,11.246
9/27/2018,01:02:31 am,0,775.19,11.342
9/27/2018,01:32:31 am,0,775.15,11.364
9/27/2018,02:02:31 am,0,775.26,11.313
9/27/2018,02:32:31 am,0,775.53,11.207
9/27/2018,03:02:31 am,0,775.77,11.051
9/27/2018,03:32:31 am,0,775.85,10.855
9/27/2018,04:02:31 am,0,775.93,10.631
9/27/2018,04:32:31 am,0,776.07,10.388
9/27/2018,05:02:31 am,0,776.12,10.132
9/27/2018,05:32:31 am,0,776.04,9.873
9/27/2018,06:02:31 am,0,776.12,9.607
9/27/2018,06:32:31 am,0,776.01,9.340
9/27/2018,07:02:31 am,0,775.94,9.077
9/27/2018,07:32:31 am,0,775.88,8.825
9/27/2018,08:02:31 am,0,775.68,8.586
9/27/2018,08:32:31 am,0,775.61,8.364
9/27/2018,09:02:31 am,0,775.48,8.158
9/27/2018,09:32:31 am,0,775.42,7.969
9/27/2018,10:02:31 am,0,775.12,7.798
9/27/2018,10:32:31 am,0,775.08,7.636
9/27/2018,11:02:31 am,0,774.99,7.486
9/27/2018,11:32:31 am,0,774.91,7.346
9/27/2018,12:02:31 pm,0,774.96,7.210
9/27/2018,12:32:31 pm,0,774.99,7.087
9/27/2018,01:02:31 pm,0,775.09,6.973
9/27/2018,01:32:31 pm,0,775.31,6.860
9/27/2018,02:02:31 pm,0,775.33,6.748
9/27/2018,02:32:31 pm,0,775.49,6.637
9/27/2018,03:02:31 pm,0,775.56,6.530
9/27/2018,03:32:31 pm,0,775.46,6.432
9/27/2018,04:02:31 pm,0,775.57,6.370
9/27/2018,04:32:31 pm,0,775.49,6.490
9/27/2018,05:02:31 pm,0,775.44,6.760
9/27/2018,05:32:31 pm,0,775.31,6.971
9/27/2018,06:02:31 pm,0,775.18,7.150
9/27/2018,06:32:31 pm,0,775.02,7.325
9/27/2018,07:02:31 pm,0,774.71,7.566
9/27/2018,07:32:31 pm,0,774.38,7.870
9/27/2018,08:02:31 pm,0,774.25,8.226
9/27/2018,08:32:31 pm,0,773.97,8.642
9/27/2018,09:02:31 pm,0,773.65,9.078
9/27/2018,09:32:31 pm,0,773.38,9.516
9/27/2018,10:02:31 pm,0,773.44,9.906
9/27/2018,10:32:31 pm,0,773.42,10.270
9/27/2018,11:02:31 pm,0,773.30,10.609
9/27/2018,11:32:31 pm,0,773.17,10.908
9/28/2018,12:02:31 am,0,773.08,11.148
9/28/2018,12:32:31 am,0,772.86,11.315
9/28/2018,01:02:31 am,0,772.76,11.410
9/28/2018,01:32:31 am,0,772.78,11.438
9/28/2018,02:02:31 am,0,772.79,11.397
9/28/2018,02:32:31 am,0,773.01,11.296
9/28/2018,03:02:31 am,0,773.07,11.140
9/28/2018,03:32:31 am,0,773.13,10.945
9/28/2018,04:02:31 am,0,773.22,10.727
9/28/2018,04:32:31 am,0,773.17,10.488
9/28/2018,05:02:31 am,0,772.80,10.241
9/28/2018,05:32:31 am,0,772.72,9.986
9/28/2018,06:02:31 am,0,772.70,9.731
9/28/2018,06:32:31 am,0,772.72,9.476
9/28/2018,07:02:31 am,0,772.76,9.223
9/28/2018,07:32:31 am,0,772.78,8.981
9/28/2018,08:02:31 am,0,772.79,8.748
9/28/2018,08:32:31 am,0,772.87,8.530
9/28/2018,09:02:31 am,0,772.94,8.325
9/28/2018,09:32:31 am,0,772.90,8.135
9/28/2018,10:02:31 am,0,772.52,7.956
9/28/2018,10:32:31 am,0,772.35,7.795
9/28/2018,11:02:31 am,0,772.19,7.643
9/28/2018,11:32:31 am,0,771.97,7.502
9/28/2018,12:02:31 pm,0,771.94,7.369
9/28/2018,12:32:31 pm,0,771.84,7.236
9/28/2018,01:02:31 pm,0,771.80,7.111
9/28/2018,01:32:31 pm,0,771.79,6.989
9/28/2018,02:02:31 pm,0,771.89,6.870
9/28/2018,02:32:31 pm,0,771.97,6.752
9/28/2018,03:02:31 pm,0,772.03,6.647
9/28/2018,03:32:31 pm,0,771.96,6.555
9/28/2018,04:02:31 pm,0,771.90,6.507
9/28/2018,04:32:31 pm,0,771.84,6.614
9/28/2018,05:02:31 pm,0,771.93,6.827
9/28/2018,05:32:31 pm,0,771.85,6.988
9/28/2018,06:02:31 pm,0,771.62,7.138
9/28/2018,06:32:31 pm,0,771.37,7.310
9/28/2018,07:02:31 pm,0,771.18,7.562
9/28/2018,07:32:31 pm,0,771.02,7.851
9/28/2018,08:02:31 pm,0,770.66,8.163
9/28/2018,08:32:31 pm,0,770.54,8.502
9/28/2018,09:02:31 pm,0,770.37,8.872
9/28/2018,09:32:31 pm,0,770.08,9.220
9/28/2018,10:02:31 pm,0,769.92,9.548
9/28/2018,10:32:31 pm,0,769.80,9.858
9/28/2018,11:02:31 pm,0,769.69,10.127
9/28/2018,11:32:31 pm,0,769.60,10.363
9/29/2018,12:02:31 am,0,769.53,10.550
9/29/2018,12:32:31 am,0,769.37,10.673
9/29/2018,01:02:31 am,0,769.21,10.738
9/29/2018,01:32:31 am,0,769.05,10.748
9/29/2018,02:02:31 am,0,769.12,10.698
9/29/2018,02:32:31 am,0,769.13,10.593
9/29/2018,03:02:31 am,0,769.18,10.445
9/29/2018,03:32:31 am,0,769.29,10.258
9/29/2018,04:02:31 am,0,769.31,10.045
9/29/2018,04:32:31 am,0,769.15,9.815
9/29/2018,05:02:31 am,0,769.06,9.577
9/29/2018,05:32:31 am,0,769.05,9.327
9/29/2018,06:02:31 am,0,769.12,9.075
9/29/2018,06:32:31 am,0,768.94,8.819
9/29/2018,07:02:31 am,0,768.81,8.563
9/29/2018,07:32:31 am,0,768.51,8.318
9/29/2018,08:02:31 am,0,768.21,8.079
9/29/2018,08:32:31 am,0,768.00,7.854
9/29/2018,09:02:31 am,0,767.99,7.643
9/29/2018,09:32:31 am,0,767.63,7.447
9/29/2018,10:02:31 am,0,767.09,7.262
9/29/2018,10:32:31 am,0,766.84,7.089
9/29/2018,11:02:31 am,0,766.56,6.936
9/29/2018,11:32:31 am,0,766.30,6.807
9/29/2018,12:02:31 pm,0,766.48,6.706
9/29/2018,12:32:31 pm,0,766.42,6.622
9/29/2018,01:02:31 pm,0,766.51,6.546
9/29/2018,01:32:31 pm,0,766.66,6.481
9/29/2018,02:02:31 pm,0,766.62,6.426
9/29/2018,02:32:31 pm,0,766.56,6.378
9/29/2018,03:02:31 pm,0,766.76,6.334
9/29/2018,03:32:31 pm,0,766.79,6.302
9/29/2018,04:02:31 pm,0,767.03,6.310
9/29/2018,04:32:31 pm,0,767.14,6.473
9/29/2018,05:02:31 pm,0,767.09,6.748
9/29/2018,05:32:31 pm,0,767.13,6.943
9/29/2018,06:02:31 pm,0,766.85,7.123
9/29/2018,06:32:31 pm,0,766.96,7.325
9/29/2018,07:02:31 pm,0,766.80,7.521
9/29/2018,07:32:31 pm,0,766.46,7.752
9/29/2018,08:02:31 pm,0,766.38,7.957
9/29/2018,08:32:31 pm,0,766.47,8.185
9/29/2018,09:02:31 pm,0,765.96,8.474
9/29/2018,09:32:31 pm,0,765.90,8.791
9/29/2018,10:02:31 pm,0,765.89,9.066
9/29/2018,10:32:31 pm,0,766.14,9.307
9/29/2018,11:02:31 pm,0,765.99,9.523
9/29/2018,11:32:31 pm,0,765.92,9.716
9/30/2018,12:02:31 am,0,765.96,9.857
9/30/2018,12:32:31 am,0,765.94,9.936
9/30/2018,01:02:31 am,0,765.76,9.956
9/30/2018,01:32:31 am,0,765.88,9.925
9/30/2018,02:02:31 am,0,765.96,9.846
9/30/2018,02:32:31 am,0,765.86,9.719
9/30/2018,03:02:31 am,0,765.62,9.553
9/30/2018,03:32:31 am,0,765.56,9.355
9/30/2018,04:02:31 am,0,765.46,9.138
9/30/2018,04:32:31 am,0,765.62,8.904
9/30/2018,05:02:31 am,0,765.90,8.666
9/30/2018,05:32:31 am,0,766.08,8.430
9/30/2018,06:02:31 am,0,766.23,8.203
9/30/2018,06:32:31 am,0,766.35,7.979
9/30/2018,07:02:31 am,0,766.52,7.761
9/30/2018,07:32:31 am,0,766.56,7.548
9/30/2018,08:02:31 am,0,766.64,7.342
9/30/2018,08:32:31 am,0,766.46,7.147
9/30/2018,09:02:31 am,0,766.60,6.962
9/30/2018,09:32:31 am,0,766.29,6.795
9/30/2018,10:02:31 am,0,766.23,6.648
9/30/2018,10:32:31 am,0,765.94,6.507
9/30/2018,11:02:31 am,0,766.04,6.381
9/30/2018,11:32:31 am,0,766.05,6.260
9/30/2018,12:02:31 pm,0,766.16,6.145
9/30/2018,12:32:31 pm,0,766.35,6.031
9/30/2018,01:02:31 pm,0,766.43,5.912
9/30/2018,01:32:31 pm,0,766.66,5.794
9/30/2018,02:02:31 pm,0,766.75,5.676
9/30/2018,02:32:31 pm,0,767.06,5.552
9/30/2018,03:02:31 pm,0,767.04,5.431
9/30/2018,03:32:31 pm,0,767.23,5.319
9/30/2018,04:02:31 pm,0,767.17,5.251
9/30/2018,04:32:31 pm,0,767.28,5.356
9/30/2018,05:02:31 pm,0,767.39,5.608
9/30/2018,05:32:31 pm,0,767.48,5.775
9/30/2018,06:02:31 pm,0,767.59,5.918
9/30/2018,06:32:31 pm,0,767.54,6.040
9/30/2018,07:02:31 pm,0,767.50,6.201
9/30/2018,07:32:31 pm,0,767.43,6.428
9/30/2018,08:02:31 pm,0,767.59,6.701
9/30/2018,08:32:31 pm,0,767.34,7.031
9/30/2018,09:02:31 pm,0,767.14,7.403
9/30/2018,09:32:31 pm,0,767.14,7.783
9/30/2018,10:02:31 pm,0,767.06,8.114
9/30/2018,10:32:31 pm,0,766.89,8.399
9/30/2018,11:02:31 pm,0,766.93,8.656
9/30/2018,11:32:31 pm,0,766.93,8.881
10/1/2018,12:02:31 am,0,766.92,9.064
10/1/2018,12:32:31 am,0,766.87,9.201
10/1/2018,01:02:31 am,0,767.03,9.296
10/1/2018,01:32:31 am,0,767.28,9.333
10/1/2018,02:02:31 am,0,767.16,9.325
10/1/2018,02:32:31 am,0,767.33,9.262
10/1/2018,03:02:31 am,0,767.57,9.153
10/1/2018,03:32:31 am,0,767.92,9.006
10/1/2018,04:02:31 am,0,767.97,8.835
10/1/2018,04:32:31 am,0,767.68,8.656
10/1/2018,05:02:31 am,0,767.65,8.473
10/1/2018,05:32:31 am,0,767.51,8.292
10/1/2018,06:02:31 am,0,767.56,8.113
10/1/2018,06:32:31 am,0,767.28,7.932
10/1/2018,07:02:31 am,0,767.52,7.763
10/1/2018,07:32:31 am,0,767.64,7.603
10/1/2018,08:02:31 am,0,767.55,7.451
10/1/2018,08:32:31 am,0,767.75,7.310
10/1/2018,09:02:31 am,0,767.88,7.175
10/1/2018,09:32:31 am,0,767.61,7.046
10/1/2018,10:02:31 am,0,767.54,6.926
10/1/2018,10:32:31 am,0,767.55,6.811
10/1/2018,11:02:31 am,0,767.37,6.695
10/1/2018,11:32:31 am,0,767.38,6.583
10/1/2018,12:02:31 pm,0,767.45,6.474
10/1/2018,12:32:31 pm,0,767.59,6.364
10/1/2018,01:02:31 pm,0,767.71,6.252
10/1/2018,01:32:31 pm,0,767.70,6.139
10/1/2018,02:02:31 pm,0,767.85,6.022
10/1/2018,02:32:31 pm,0,768.12,5.911
10/1/2018,03:02:31 pm,0,768.25,5.804
10/1/2018,03:32:31 pm,0,768.33,5.706
10/1/2018,04:02:31 pm,0,768.19,5.667
10/1/2018,04:32:31 pm,0,768.47,5.793
10/1/2018,05:02:31 pm,0,768.60,6.018
10/1/2018,05:32:31 pm,0,768.63,6.223
10/1/2018,06:02:31 pm,0,768.45,6.456
10/1/2018,06:32:31 pm,0,768.20,6.627
