Serial_number:,,,,
2003905,,,,
Project ID:,,,,
B2003905,,,,
Location:,,,,
Lyell Below Maclure,,,,
BAROMETRIC PRESSURE,,,,
UNIT: kPa,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,BAROMETRIC PRESSURE,TEMPERATURE
8/15/2018,12:00:00 AM,0,71.8581,16.292
8/15/2018,12:30:00 AM,0,71.86,15.713
8/15/2018,1:00:00 AM,0,71.8532,14.886
8/15/2018,1:30:00 AM,0,71.8426,14.227
8/15/2018,2:00:00 AM,0,71.877,13.854
8/15/2018,2:30:00 AM,0,71.8696,12.776
8/15/2018,3:00:00 AM,0,71.871,11.654
8/15/2018,3:30:00 AM,0,71.8982,10.709
8/15/2018,4:00:00 AM,0,71.9177,11.107
8/15/2018,4:30:00 AM,0,71.9308,10.826
8/15/2018,5:00:00 AM,0,71.9449,9.77
8/15/2018,5:30:00 AM,0,71.9435,8.698
8/15/2018,6:00:00 AM,0,71.9448,8.143
8/15/2018,6:30:00 AM,0,71.9426,7.951
8/15/2018,7:00:00 AM,0,71.9481,7.918
8/15/2018,7:30:00 AM,0,71.9432,7.562
8/15/2018,8:00:00 AM,0,71.9424,7.252
8/15/2018,8:30:00 AM,0,71.9282,6.968
8/15/2018,9:00:00 AM,0,71.9192,6.776
8/15/2018,9:30:00 AM,0,71.9175,6.592
8/15/2018,10:00:00 AM,0,71.9084,6.43
8/15/2018,10:30:00 AM,0,71.9056,6.277
8/15/2018,11:00:00 AM,0,71.8973,6.129
8/15/2018,11:30:00 AM,0,71.8937,5.953
8/15/2018,12:00:00 PM,0,71.8874,5.76
8/15/2018,12:30:00 PM,0,71.8989,5.64
8/15/2018,1:00:00 PM,0,71.913,5.456
8/15/2018,1:30:00 PM,0,71.9257,5.355
8/15/2018,2:00:00 PM,0,71.9439,5.453
8/15/2018,2:30:00 PM,0,71.951,5.766
8/15/2018,3:00:00 PM,0,71.953,6.289
8/15/2018,3:30:00 PM,0,71.9472,8.7
8/15/2018,4:00:00 PM,0,71.9506,10.843
8/15/2018,4:30:00 PM,0,71.9435,13.608
8/15/2018,5:00:00 PM,0,71.9552,13.807
8/15/2018,5:30:00 PM,0,71.9746,13.992
8/15/2018,6:00:00 PM,0,71.9682,15.95
8/15/2018,6:30:00 PM,0,71.9596,17.646
8/15/2018,7:00:00 PM,0,71.9298,20.774
8/15/2018,7:30:00 PM,0,71.9322,26.155
8/15/2018,8:00:00 PM,0,71.981,21.011
8/15/2018,8:30:00 PM,0,71.9557,19.105
8/15/2018,9:00:00 PM,0,71.9515,19.129
