Serial_number:
2004273
Project ID:
L2004273
Location:
Budd_Ck_abv_culvert
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/15/2018,12:00:00 am,0,773.05,11.829
8/15/2018,12:30:00 am,0,773.12,11.850
8/15/2018,01:00:00 am,0,773.25,11.896
8/15/2018,01:30:00 am,0,772.82,11.893
8/15/2018,02:00:00 am,0,773.15,11.842
8/15/2018,02:30:00 am,0,773.17,11.723
8/15/2018,03:00:00 am,0,773.26,11.549
8/15/2018,03:30:00 am,0,773.23,11.356
8/15/2018,04:00:00 am,0,773.65,11.160
8/15/2018,04:30:00 am,0,773.37,10.966
8/15/2018,05:00:00 am,0,773.55,10.765
8/15/2018,05:30:00 am,0,773.66,10.562
8/15/2018,06:00:00 am,0,773.63,10.371
8/15/2018,06:30:00 am,0,773.65,10.201
8/15/2018,07:00:00 am,0,773.71,10.061
8/15/2018,07:30:00 am,0,773.57,9.929
8/15/2018,08:00:00 am,0,773.79,9.798
8/15/2018,08:30:00 am,0,773.58,9.675
8/15/2018,09:00:00 am,0,773.09,9.565
8/15/2018,09:30:00 am,0,773.06,9.472
8/15/2018,10:00:00 am,0,773.13,9.387
8/15/2018,10:30:00 am,0,773.32,9.305
8/15/2018,11:00:00 am,0,772.98,9.223
8/15/2018,11:30:00 am,0,772.78,9.141
8/15/2018,12:00:00 pm,0,772.68,9.054
8/15/2018,12:30:00 pm,0,772.77,8.971
8/15/2018,01:00:00 pm,0,773.18,8.891
8/15/2018,01:30:00 pm,0,773.00,8.815
8/15/2018,02:00:00 pm,0,773.59,8.740
8/15/2018,02:30:00 pm,0,773.31,8.684
8/15/2018,03:00:00 pm,0,773.28,8.649
8/15/2018,03:30:00 pm,0,773.40,8.650
8/15/2018,04:00:00 pm,0,773.50,8.730
8/15/2018,04:30:00 pm,0,773.46,8.881
8/15/2018,05:00:00 pm,0,773.52,9.089
8/15/2018,05:30:00 pm,0,773.56,9.367
8/15/2018,06:00:00 pm,0,773.49,9.743
8/15/2018,06:30:00 pm,0,773.49,10.294
8/15/2018,07:00:00 pm,0,773.29,11.001
8/15/2018,07:30:00 pm,0,772.96,11.777
8/15/2018,08:00:00 pm,0,773.15,12.691
8/15/2018,08:30:00 pm,0,772.61,13.288
8/15/2018,09:00:00 pm,0,772.76,13.761
8/15/2018,09:30:00 pm,0,772.43,14.081
8/15/2018,10:00:00 pm,0,772.05,14.147
8/15/2018,10:30:00 pm,0,772.13,14.170
8/15/2018,11:00:00 pm,0,771.79,14.044
8/15/2018,11:30:00 pm,0,771.67,13.873
8/16/2018,12:00:00 am,0,771.84,13.694
8/16/2018,12:30:00 am,0,771.51,13.529
8/16/2018,01:00:00 am,0,771.53,13.397
8/16/2018,01:30:00 am,0,771.83,13.267
8/16/2018,02:00:00 am,0,772.00,13.110
8/16/2018,02:30:00 am,0,771.84,12.923
8/16/2018,03:00:00 am,0,772.42,12.717
8/16/2018,03:30:00 am,0,773.10,12.484
8/16/2018,04:00:00 am,0,773.11,12.217
8/16/2018,04:30:00 am,0,773.62,11.946
8/16/2018,05:00:00 am,0,774.24,11.676
8/16/2018,05:30:00 am,0,773.83,11.426
8/16/2018,06:00:00 am,0,774.34,11.197
8/16/2018,06:30:00 am,0,774.56,11.003
8/16/2018,07:00:00 am,0,774.82,10.835
8/16/2018,07:30:00 am,0,774.40,10.692
8/16/2018,08:00:00 am,0,774.95,10.571
8/16/2018,08:30:00 am,0,774.88,10.466
8/16/2018,09:00:00 am,0,775.06,10.374
8/16/2018,09:30:00 am,0,775.03,10.286
8/16/2018,10:00:00 am,0,774.87,10.199
8/16/2018,10:30:00 am,0,774.98,10.117
8/16/2018,11:00:00 am,0,775.35,10.037
8/16/2018,11:30:00 am,0,775.30,9.949
8/16/2018,12:00:00 pm,0,775.57,9.859
8/16/2018,12:30:00 pm,0,775.81,9.759
8/16/2018,01:00:00 pm,0,776.03,9.660
8/16/2018,01:30:00 pm,0,776.31,9.562
8/16/2018,02:00:00 pm,0,776.71,9.482
8/16/2018,02:30:00 pm,0,776.53,9.416
8/16/2018,03:00:00 pm,0,776.91,9.373
8/16/2018,03:30:00 pm,0,776.83,9.366
8/16/2018,04:00:00 pm,0,776.84,9.427
8/16/2018,04:30:00 pm,0,776.72,9.553
8/16/2018,05:00:00 pm,0,776.88,9.734
8/16/2018,05:30:00 pm,0,776.81,9.998
8/16/2018,06:00:00 pm,0,777.17,10.377
8/16/2018,06:30:00 pm,0,777.26,10.859
8/16/2018,07:00:00 pm,0,777.01,11.432
8/16/2018,07:30:00 pm,0,776.44,12.120
8/16/2018,08:00:00 pm,0,776.42,12.884
8/16/2018,08:30:00 pm,0,776.64,13.658
8/16/2018,09:00:00 pm,0,776.17,14.244
8/16/2018,09:30:00 pm,0,775.68,14.450
8/16/2018,10:00:00 pm,0,775.80,14.447
8/16/2018,10:30:00 pm,0,775.51,14.392
8/16/2018,11:00:00 pm,0,775.22,14.299
8/16/2018,11:30:00 pm,0,775.18,14.172
8/17/2018,12:00:00 am,0,774.92,14.034
8/17/2018,12:30:00 am,0,774.72,13.885
8/17/2018,01:00:00 am,0,774.96,13.737
8/17/2018,01:30:00 am,0,775.01,13.583
8/17/2018,02:00:00 am,0,775.05,13.443
8/17/2018,02:30:00 am,0,775.36,13.311
8/17/2018,03:00:00 am,0,775.59,13.164
8/17/2018,03:30:00 am,0,775.73,12.971
8/17/2018,04:00:00 am,0,776.58,12.733
8/17/2018,04:30:00 am,0,777.04,12.477
8/17/2018,05:00:00 am,0,777.04,12.215
8/17/2018,05:30:00 am,0,776.94,11.965
8/17/2018,06:00:00 am,0,777.51,11.736
8/17/2018,06:30:00 am,0,777.98,11.530
8/17/2018,07:00:00 am,0,777.99,11.343
8/17/2018,07:30:00 am,0,778.22,11.176
8/17/2018,08:00:00 am,0,778.31,11.019
8/17/2018,08:30:00 am,0,778.24,10.872
