Serial_number:
2065035
Project ID:

Location:
TR_120
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
9/25/2018,10:30:00 pm,0,767.39,18.146
9/25/2018,11:00:00 pm,0,784.64,16.673
9/25/2018,11:30:00 pm,0,784.60,16.264
9/26/2018,12:00:00 am,0,784.70,15.997
9/26/2018,12:30:00 am,0,784.87,15.744
9/26/2018,01:00:00 am,0,785.03,15.425
9/26/2018,01:30:00 am,0,785.18,15.039
9/26/2018,02:00:00 am,0,785.40,14.578
9/26/2018,02:30:00 am,0,785.71,14.048
9/26/2018,03:00:00 am,0,785.98,13.377
9/26/2018,03:30:00 am,0,786.11,12.739
9/26/2018,04:00:00 am,0,786.35,12.100
9/26/2018,04:30:00 am,0,786.49,11.557
9/26/2018,05:00:00 am,0,786.33,11.034
9/26/2018,05:30:00 am,0,786.52,10.597
9/26/2018,06:00:00 am,0,786.65,10.251
9/26/2018,06:30:00 am,0,786.59,9.956
9/26/2018,07:00:00 am,0,786.66,9.687
9/26/2018,07:30:00 am,0,786.79,9.436
9/26/2018,08:00:00 am,0,786.85,9.215
9/26/2018,08:30:00 am,0,786.92,9.026
9/26/2018,09:00:00 am,0,786.90,8.826
9/26/2018,09:30:00 am,0,787.17,8.635
9/26/2018,10:00:00 am,0,787.08,8.433
9/26/2018,10:30:00 am,0,787.07,8.244
9/26/2018,11:00:00 am,0,787.11,8.059
9/26/2018,11:30:00 am,0,787.26,7.889
9/26/2018,12:00:00 pm,0,787.30,7.699
9/26/2018,12:30:00 pm,0,787.37,7.509
9/26/2018,01:00:00 pm,0,787.48,7.327
9/26/2018,01:30:00 pm,0,787.63,7.147
9/26/2018,02:00:00 pm,0,787.75,6.975
9/26/2018,02:30:00 pm,0,787.92,6.801
9/26/2018,03:00:00 pm,0,787.86,6.671
9/26/2018,03:30:00 pm,0,788.10,6.671
9/26/2018,04:00:00 pm,0,788.16,6.788
9/26/2018,04:30:00 pm,0,788.25,7.070
9/26/2018,05:00:00 pm,0,788.34,7.373
9/26/2018,05:30:00 pm,0,788.38,7.739
9/26/2018,06:00:00 pm,0,788.29,8.294
9/26/2018,06:30:00 pm,0,788.12,9.072
9/26/2018,07:00:00 pm,0,787.95,10.051
9/26/2018,07:30:00 pm,0,787.81,11.090
9/26/2018,08:00:00 pm,0,787.57,12.078
9/26/2018,08:30:00 pm,0,787.33,13.054
9/26/2018,09:00:00 pm,0,787.18,13.930
9/26/2018,09:30:00 pm,0,787.01,14.765
9/26/2018,10:00:00 pm,0,786.81,15.483
9/26/2018,10:30:00 pm,0,786.77,16.045
9/26/2018,11:00:00 pm,0,786.70,16.140
9/26/2018,11:30:00 pm,0,786.75,16.097
9/27/2018,12:00:00 am,0,786.61,16.028
9/27/2018,12:30:00 am,0,786.70,15.884
9/27/2018,01:00:00 am,0,786.77,15.612
9/27/2018,01:30:00 am,0,786.89,15.269
9/27/2018,02:00:00 am,0,787.05,14.827
9/27/2018,02:30:00 am,0,787.36,14.269
9/27/2018,03:00:00 am,0,787.61,13.610
9/27/2018,03:30:00 am,0,787.84,13.011
9/27/2018,04:00:00 am,0,787.78,12.351
9/27/2018,04:30:00 am,0,787.84,11.773
9/27/2018,05:00:00 am,0,787.94,11.310
9/27/2018,05:30:00 am,0,787.88,10.900
9/27/2018,06:00:00 am,0,787.93,10.546
9/27/2018,06:30:00 am,0,787.84,10.240
9/27/2018,07:00:00 am,0,787.83,9.963
9/27/2018,07:30:00 am,0,787.73,9.717
9/27/2018,08:00:00 am,0,787.68,9.487
9/27/2018,08:30:00 am,0,787.58,9.271
9/27/2018,09:00:00 am,0,787.38,9.073
9/27/2018,09:30:00 am,0,787.32,8.879
9/27/2018,10:00:00 am,0,787.07,8.686
9/27/2018,10:30:00 am,0,786.89,8.499
9/27/2018,11:00:00 am,0,786.94,8.337
9/27/2018,11:30:00 am,0,786.85,8.155
9/27/2018,12:00:00 pm,0,786.91,7.965
9/27/2018,12:30:00 pm,0,786.86,7.778
9/27/2018,01:00:00 pm,0,786.99,7.596
9/27/2018,01:30:00 pm,0,787.16,7.420
9/27/2018,02:00:00 pm,0,787.16,7.246
9/27/2018,02:30:00 pm,0,787.30,7.076
9/27/2018,03:00:00 pm,0,787.42,6.928
9/27/2018,03:30:00 pm,0,787.32,6.904
9/27/2018,04:00:00 pm,0,787.41,6.998
9/27/2018,04:30:00 pm,0,787.32,7.217
9/27/2018,05:00:00 pm,0,787.21,7.477
9/27/2018,05:30:00 pm,0,787.02,7.916
9/27/2018,06:00:00 pm,0,786.89,8.486
9/27/2018,06:30:00 pm,0,786.76,9.269
9/27/2018,07:00:00 pm,0,786.52,10.172
9/27/2018,07:30:00 pm,0,786.20,11.128
9/27/2018,08:00:00 pm,0,785.91,12.066
9/27/2018,08:30:00 pm,0,785.55,13.140
9/27/2018,09:00:00 pm,0,785.14,14.067
9/27/2018,09:30:00 pm,0,784.92,14.866
9/27/2018,10:00:00 pm,0,784.74,15.582
9/27/2018,10:30:00 pm,0,784.61,16.109
9/27/2018,11:00:00 pm,0,784.49,16.180
9/27/2018,11:30:00 pm,0,784.46,16.122
9/28/2018,12:00:00 am,0,784.35,16.044
9/28/2018,12:30:00 am,0,784.26,15.892
9/28/2018,01:00:00 am,0,784.17,15.632
9/28/2018,01:30:00 am,0,784.24,15.300
9/28/2018,02:00:00 am,0,784.36,14.866
9/28/2018,02:30:00 am,0,784.49,14.300
9/28/2018,03:00:00 am,0,784.71,13.684
9/28/2018,03:30:00 am,0,784.78,13.042
9/28/2018,04:00:00 am,0,784.90,12.481
9/28/2018,04:30:00 am,0,784.86,11.941
9/28/2018,05:00:00 am,0,784.64,11.477
9/28/2018,05:30:00 am,0,784.60,11.053
9/28/2018,06:00:00 am,0,784.62,10.694
9/28/2018,06:30:00 am,0,784.59,10.390
9/28/2018,07:00:00 am,0,784.74,10.123
9/28/2018,07:30:00 am,0,784.73,9.878
9/28/2018,08:00:00 am,0,784.75,9.656
9/28/2018,08:30:00 am,0,784.80,9.443
9/28/2018,09:00:00 am,0,784.87,9.246
9/28/2018,09:30:00 am,0,784.83,9.057
9/28/2018,10:00:00 am,0,784.54,8.883
9/28/2018,10:30:00 am,0,784.32,8.721
9/28/2018,11:00:00 am,0,784.11,8.564
9/28/2018,11:30:00 am,0,783.90,8.418
9/28/2018,12:00:00 pm,0,783.81,8.253
9/28/2018,12:30:00 pm,0,783.66,8.087
9/28/2018,01:00:00 pm,0,783.65,7.914
9/28/2018,01:30:00 pm,0,783.63,7.744
9/28/2018,02:00:00 pm,0,783.72,7.571
9/28/2018,02:30:00 pm,0,783.83,7.384
9/28/2018,03:00:00 pm,0,783.87,7.240
9/28/2018,03:30:00 pm,0,783.83,7.171
9/28/2018,04:00:00 pm,0,783.69,7.226
9/28/2018,04:30:00 pm,0,783.69,7.410
9/28/2018,05:00:00 pm,0,783.68,7.703
9/28/2018,05:30:00 pm,0,783.60,8.019
9/28/2018,06:00:00 pm,0,783.38,8.527
9/28/2018,06:30:00 pm,0,783.21,9.247
9/28/2018,07:00:00 pm,0,782.93,10.031
9/28/2018,07:30:00 pm,0,782.74,10.885
9/28/2018,08:00:00 pm,0,782.38,11.697
9/28/2018,08:30:00 pm,0,782.22,12.481
9/28/2018,09:00:00 pm,0,781.93,13.140
9/28/2018,09:30:00 pm,0,781.56,13.835
9/28/2018,10:00:00 pm,0,781.44,14.377
