Date_Time,lvl_cm,temp_C
2019-08-06 20:00:00,756.21,23.669
2019-08-06 20:30:00,754.54,24.092
2019-08-06 21:00:00,752.41,24.594
2019-08-06 21:30:00,751.62,25.067
2019-08-06 22:00:00,733.12,25.262
2019-08-06 22:30:00,733.73,25.262
2019-08-06 23:00:00,734.22,25.429
2019-08-06 23:30:00,784.56,11.482
2019-08-07 00:00:00,785.76,11.286
2019-08-07 00:30:00,786.19,11.187
2019-08-07 01:00:00,787.06,11.071
2019-08-07 01:30:00,787.38,10.92
2019-08-07 02:00:00,788.63,10.748
2019-08-07 02:30:00,789.8,10.57
2019-08-07 03:00:00,790.08,10.359
2019-08-07 03:30:00,790.19,10.165
2019-08-07 04:00:00,790.44,9.965
2019-08-07 04:30:00,790.49,9.771
2019-08-07 05:00:00,790.85,9.557
2019-08-07 05:30:00,790.09,9.349
2019-08-07 06:00:00,790.26,9.169
2019-08-07 06:30:00,790.74,9.015
2019-08-07 07:00:00,790.52,8.831
2019-08-07 07:30:00,790.19,8.673
2019-08-07 08:00:00,789.32,8.511
2019-08-07 08:30:00,789.4,8.365
2019-08-07 09:00:00,787.99,8.216
2019-08-07 09:30:00,788.18,8.04
2019-08-07 10:00:00,788.06,7.851
2019-08-07 10:30:00,787.55,7.654
2019-08-07 11:00:00,787.3,7.499
2019-08-07 11:30:00,787.67,7.356
2019-08-07 12:00:00,787.23,7.218
2019-08-07 12:30:00,786.33,7.075
2019-08-07 13:00:00,786.67,6.899
2019-08-07 13:30:00,786.57,6.746
2019-08-07 14:00:00,786.52,6.634
2019-08-07 14:30:00,786.29,6.618
2019-08-07 15:00:00,786.21,6.667
2019-08-07 15:30:00,785.59,6.705
2019-08-07 16:00:00,785.94,6.723
2019-08-07 16:30:00,785.31,6.769
2019-08-07 17:00:00,785.1,6.867
2019-08-07 17:30:00,785.4,7.033
2019-08-07 18:00:00,785.14,7.427
2019-08-07 18:30:00,784.36,8.036
2019-08-07 19:00:00,784.89,8.668
2019-08-07 19:30:00,784.56,9.159
2019-08-07 20:00:00,784.51,9.381
2019-08-07 20:30:00,784.26,9.434
2019-08-07 21:00:00,783.88,9.552
2019-08-07 21:30:00,782.81,9.616
2019-08-07 22:00:00,782.98,9.618
2019-08-07 22:30:00,783.38,9.735
2019-08-07 23:00:00,783.85,9.913
2019-08-07 23:30:00,783.55,10.027
2019-08-08 00:00:00,783.47,10.008
