Serial_number:
2065035
Project ID:

Location:
BuddCreek_btwCulvertandSideChann
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/14/2019,03:55:47 pm,0,767.79,13.543
8/14/2019,04:25:47 pm,0,771.44,18.158
8/14/2019,04:55:47 pm,0,793.08,8.599
8/14/2019,05:25:47 pm,0,792.94,8.279
8/14/2019,05:55:47 pm,0,792.84,8.446
8/14/2019,06:25:47 pm,0,792.64,8.758
8/14/2019,06:55:47 pm,0,792.48,9.139
8/14/2019,07:25:47 pm,0,792.34,9.551
8/14/2019,07:55:47 pm,0,792.13,9.981
8/14/2019,08:25:47 pm,0,792.00,10.501
8/14/2019,08:55:47 pm,0,791.98,11.038
8/14/2019,09:25:47 pm,0,791.95,11.587
8/14/2019,09:55:47 pm,0,792.01,12.041
8/14/2019,10:25:47 pm,0,792.05,12.212
8/14/2019,10:55:47 pm,0,792.08,12.182
8/14/2019,11:25:47 pm,0,792.21,11.902
8/14/2019,11:55:47 pm,0,792.45,11.648
8/15/2019,12:25:47 am,0,792.81,11.452
8/15/2019,12:55:47 am,0,793.14,11.294
8/15/2019,01:25:47 am,0,793.53,11.148
8/15/2019,01:55:47 am,0,794.05,11.047
8/15/2019,02:25:47 am,0,794.44,10.989
8/15/2019,02:55:47 am,0,794.93,10.916
8/15/2019,03:25:47 am,0,795.32,10.818
8/15/2019,03:55:47 am,0,795.61,10.695
8/15/2019,04:25:47 am,0,795.80,10.552
8/15/2019,04:55:47 am,0,795.75,10.395
8/15/2019,05:25:47 am,0,795.67,10.238
8/15/2019,05:55:47 am,0,795.55,10.085
8/15/2019,06:25:47 am,0,795.46,9.930
8/15/2019,06:55:47 am,0,795.27,9.774
8/15/2019,07:25:47 am,0,795.07,9.621
8/15/2019,07:55:47 am,0,794.94,9.472
8/15/2019,08:25:47 am,0,794.86,9.328
8/15/2019,08:55:47 am,0,794.57,9.183
8/15/2019,09:25:47 am,0,794.38,9.040
8/15/2019,09:55:47 am,0,794.34,8.898
8/15/2019,10:25:47 am,0,794.17,8.756
8/15/2019,10:55:47 am,0,794.04,8.615
8/15/2019,11:25:47 am,0,793.84,8.476
8/15/2019,11:55:47 am,0,793.73,8.346
8/15/2019,12:25:47 pm,0,793.63,8.221
8/15/2019,12:55:47 pm,0,793.49,8.105
8/15/2019,01:25:47 pm,0,793.52,7.994
8/15/2019,01:55:47 pm,0,793.48,7.896
8/15/2019,02:25:47 pm,0,793.41,7.823
8/15/2019,02:55:47 pm,0,793.32,7.791
8/15/2019,03:25:47 pm,0,793.17,7.818
8/15/2019,03:55:47 pm,0,793.06,7.908
8/15/2019,04:25:47 pm,0,792.85,8.043
8/15/2019,04:55:47 pm,0,792.81,8.204
8/15/2019,05:25:47 pm,0,792.68,8.381
8/15/2019,05:55:47 pm,0,792.47,8.626
8/15/2019,06:25:47 pm,0,792.29,8.967
8/15/2019,06:55:47 pm,0,791.94,9.350
8/15/2019,07:25:47 pm,0,791.61,9.737
8/15/2019,07:55:47 pm,0,791.36,10.125
8/15/2019,08:25:47 pm,0,791.09,10.597
8/15/2019,08:55:47 pm,0,791.14,11.126
8/15/2019,09:25:47 pm,0,790.96,11.679
8/15/2019,09:55:47 pm,0,791.00,12.164
8/15/2019,10:25:47 pm,0,790.95,12.348
8/15/2019,10:55:47 pm,0,790.93,12.325
8/15/2019,11:25:47 pm,0,790.93,12.048
8/15/2019,11:55:47 pm,0,791.05,11.798
8/16/2019,12:25:47 am,0,791.41,11.636
8/16/2019,12:55:47 am,0,791.76,11.506
8/16/2019,01:25:47 am,0,792.10,11.380
8/16/2019,01:55:47 am,0,792.47,11.287
8/16/2019,02:25:47 am,0,792.76,11.236
8/16/2019,02:55:47 am,0,793.11,11.181
8/16/2019,03:25:47 am,0,793.40,11.090
8/16/2019,03:55:47 am,0,793.78,10.969
8/16/2019,04:25:47 am,0,793.82,10.836
8/16/2019,04:55:47 am,0,793.80,10.687
8/16/2019,05:25:47 am,0,793.65,10.533
8/16/2019,05:55:47 am,0,793.50,10.382
8/16/2019,06:25:47 am,0,793.34,10.233
8/16/2019,06:55:47 am,0,793.17,10.089
8/16/2019,07:25:47 am,0,792.99,9.943
8/16/2019,07:55:47 am,0,792.81,9.803
8/16/2019,08:25:47 am,0,792.68,9.662
8/16/2019,08:55:47 am,0,792.39,9.518
8/16/2019,09:25:47 am,0,792.07,9.364
8/16/2019,09:55:47 am,0,791.82,9.209
8/16/2019,10:25:47 am,0,791.59,9.054
8/16/2019,10:55:47 am,0,791.45,8.906
8/16/2019,11:25:47 am,0,791.33,8.765
8/16/2019,11:55:47 am,0,791.27,8.633
8/16/2019,12:25:47 pm,0,791.10,8.509
8/16/2019,12:55:47 pm,0,790.92,8.394
8/16/2019,01:25:47 pm,0,791.01,8.284
8/16/2019,01:55:47 pm,0,791.00,8.190
8/16/2019,02:25:47 pm,0,791.10,8.119
8/16/2019,02:55:47 pm,0,790.95,8.082
8/16/2019,03:25:47 pm,0,790.65,8.101
8/16/2019,03:55:47 pm,0,790.45,8.179
8/16/2019,04:25:47 pm,0,790.29,8.295
8/16/2019,04:55:47 pm,0,790.22,8.441
8/16/2019,05:25:47 pm,0,790.08,8.629
8/16/2019,05:55:47 pm,0,789.96,8.884
8/16/2019,06:25:47 pm,0,789.91,9.216
8/16/2019,06:55:47 pm,0,789.68,9.599
8/16/2019,07:25:47 pm,0,789.46,9.984
8/16/2019,07:55:47 pm,0,789.19,10.377
8/16/2019,08:25:47 pm,0,789.06,10.850
8/16/2019,08:55:47 pm,0,788.95,11.335
8/16/2019,09:25:47 pm,0,788.83,11.820
8/16/2019,09:55:47 pm,0,788.71,12.239
8/16/2019,10:25:47 pm,0,788.58,12.375
8/16/2019,10:55:47 pm,0,788.63,12.294
8/16/2019,11:25:47 pm,0,788.59,11.972
8/16/2019,11:55:47 pm,0,788.74,11.684
8/17/2019,12:25:47 am,0,789.10,11.493
8/17/2019,12:55:47 am,0,789.23,11.339
8/17/2019,01:25:47 am,0,789.46,11.196
8/17/2019,01:55:47 am,0,789.65,11.106
8/17/2019,02:25:47 am,0,789.91,11.053
8/17/2019,02:55:47 am,0,790.12,10.975
8/17/2019,03:25:47 am,0,790.28,10.862
8/17/2019,03:55:47 am,0,790.42,10.724
8/17/2019,04:25:47 am,0,790.61,10.565
8/17/2019,04:55:47 am,0,790.72,10.402
8/17/2019,05:25:47 am,0,790.57,10.234
8/17/2019,05:55:47 am,0,790.37,10.067
8/17/2019,06:25:47 am,0,790.21,9.907
8/17/2019,06:55:47 am,0,789.98,9.746
8/17/2019,07:25:47 am,0,789.85,9.591
8/17/2019,07:55:47 am,0,789.73,9.438
8/17/2019,08:25:47 am,0,789.48,9.283
8/17/2019,08:55:47 am,0,789.33,9.124
8/17/2019,09:25:47 am,0,788.99,8.962
8/17/2019,09:55:47 am,0,788.74,8.800
8/17/2019,10:25:47 am,0,788.49,8.639
8/17/2019,10:55:47 am,0,788.08,8.480
8/17/2019,11:25:47 am,0,787.93,8.328
8/17/2019,11:55:47 am,0,787.92,8.183
8/17/2019,12:25:47 pm,0,787.74,8.031
8/17/2019,12:55:47 pm,0,787.82,7.869
8/17/2019,01:25:47 pm,0,787.78,7.712
8/17/2019,01:55:47 pm,0,787.72,7.569
8/17/2019,02:25:47 pm,0,787.50,7.449
8/17/2019,02:55:47 pm,0,787.44,7.382
8/17/2019,03:25:47 pm,0,787.25,7.377
8/17/2019,03:55:47 pm,0,787.14,7.440
8/17/2019,04:25:47 pm,0,787.05,7.555
8/17/2019,04:55:47 pm,0,786.95,7.696
8/17/2019,05:25:47 pm,0,786.96,7.863
8/17/2019,05:55:47 pm,0,786.82,8.097
8/17/2019,06:25:47 pm,0,786.62,8.431
8/17/2019,06:55:47 pm,0,786.55,8.812
8/17/2019,07:25:47 pm,0,786.47,9.210
8/17/2019,07:55:47 pm,0,786.28,9.589
8/17/2019,08:25:47 pm,0,786.10,10.061
8/17/2019,08:55:47 pm,0,785.88,10.566
8/17/2019,09:25:47 pm,0,785.71,11.097
8/17/2019,09:55:47 pm,0,785.49,11.584
8/17/2019,10:25:47 pm,0,785.37,11.806
8/17/2019,10:55:47 pm,0,785.17,11.804
8/17/2019,11:25:47 pm,0,785.21,11.499
8/17/2019,11:55:47 pm,0,785.14,11.207
8/18/2019,12:25:47 am,0,785.12,11.026
8/18/2019,12:55:47 am,0,785.27,10.893
8/18/2019,01:25:47 am,0,785.35,10.778
8/18/2019,01:55:47 am,0,785.56,10.671
8/18/2019,02:25:47 am,0,785.80,10.576
