Serial_number:
2065011
Project ID:

Location:
Delaney above PCT
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/14/2019,08:54:06 pm,0,762.11,20.523
8/14/2019,09:24:06 pm,0,765.00,27.661
8/14/2019,09:54:06 pm,0,761.13,34.979
8/14/2019,10:24:06 pm,0,820.75,16.056
8/14/2019,10:54:06 pm,0,820.47,16.108
8/14/2019,11:24:06 pm,0,820.46,16.188
8/14/2019,11:54:06 pm,0,820.29,16.198
8/15/2019,12:24:06 am,0,820.38,16.129
8/15/2019,12:54:06 am,0,820.32,15.992
8/15/2019,01:24:06 am,0,820.28,15.807
8/15/2019,01:54:06 am,0,820.29,15.559
8/15/2019,02:24:06 am,0,820.47,15.312
8/15/2019,02:54:06 am,0,820.62,15.034
8/15/2019,03:24:06 am,0,820.85,14.769
8/15/2019,03:54:06 am,0,821.00,14.526
8/15/2019,04:24:06 am,0,821.22,14.268
8/15/2019,04:54:06 am,0,821.31,14.005
8/15/2019,05:24:06 am,0,821.29,13.721
8/15/2019,05:54:06 am,0,821.25,13.450
8/15/2019,06:24:06 am,0,821.45,13.162
8/15/2019,06:54:06 am,0,821.48,12.895
8/15/2019,07:24:06 am,0,821.43,12.629
8/15/2019,07:54:06 am,0,821.61,12.378
8/15/2019,08:24:06 am,0,821.67,12.136
8/15/2019,08:54:06 am,0,821.67,11.918
8/15/2019,09:24:06 am,0,821.60,11.707
8/15/2019,09:54:06 am,0,821.73,11.502
8/15/2019,10:24:06 am,0,821.77,11.307
8/15/2019,10:54:06 am,0,821.87,11.121
8/15/2019,11:24:06 am,0,821.73,10.938
8/15/2019,11:54:06 am,0,821.81,10.755
8/15/2019,12:24:06 pm,0,821.90,10.587
8/15/2019,12:54:06 pm,0,821.83,10.422
8/15/2019,01:24:06 pm,0,821.92,10.253
8/15/2019,01:54:06 pm,0,822.08,10.086
8/15/2019,02:24:06 pm,0,822.13,9.928
8/15/2019,02:54:06 pm,0,822.14,9.804
8/15/2019,03:24:06 pm,0,822.06,9.701
8/15/2019,03:54:06 pm,0,822.00,9.663
8/15/2019,04:24:06 pm,0,821.81,9.737
8/15/2019,04:54:06 pm,0,821.91,9.910
8/15/2019,05:24:06 pm,0,821.87,10.160
8/15/2019,05:54:06 pm,0,821.75,10.459
8/15/2019,06:24:06 pm,0,821.64,10.996
8/15/2019,06:54:06 pm,0,821.40,11.482
8/15/2019,07:24:06 pm,0,821.06,12.279
8/15/2019,07:54:06 pm,0,820.74,13.059
8/15/2019,08:24:06 pm,0,820.38,13.842
8/15/2019,08:54:06 pm,0,820.32,14.554
8/15/2019,09:24:06 pm,0,820.02,15.204
8/15/2019,09:54:06 pm,0,819.81,15.772
8/15/2019,10:24:06 pm,0,819.58,16.181
8/15/2019,10:54:06 pm,0,819.38,16.357
8/15/2019,11:24:06 pm,0,819.07,16.445
8/15/2019,11:54:06 pm,0,818.94,16.449
8/16/2019,12:24:06 am,0,818.78,16.378
8/16/2019,12:54:06 am,0,818.66,16.225
8/16/2019,01:24:06 am,0,818.52,16.020
8/16/2019,01:54:06 am,0,818.44,15.790
8/16/2019,02:24:06 am,0,818.40,15.540
8/16/2019,02:54:06 am,0,818.47,15.273
8/16/2019,03:24:06 am,0,818.55,15.025
8/16/2019,03:54:06 am,0,818.77,14.782
8/16/2019,04:24:06 am,0,819.03,14.548
8/16/2019,04:54:06 am,0,818.97,14.289
8/16/2019,05:24:06 am,0,818.90,14.032
8/16/2019,05:54:06 am,0,818.95,13.758
8/16/2019,06:24:06 am,0,818.97,13.506
8/16/2019,06:54:06 am,0,819.00,13.245
8/16/2019,07:24:06 am,0,818.99,12.994
8/16/2019,07:54:06 am,0,819.08,12.740
8/16/2019,08:24:06 am,0,819.19,12.509
8/16/2019,08:54:06 am,0,819.10,12.285
8/16/2019,09:24:06 am,0,819.04,12.060
8/16/2019,09:54:06 am,0,818.95,11.853
8/16/2019,10:24:06 am,0,818.93,11.653
8/16/2019,10:54:06 am,0,818.89,11.457
8/16/2019,11:24:06 am,0,818.97,11.279
8/16/2019,11:54:06 am,0,819.03,11.087
8/16/2019,12:24:06 pm,0,819.02,10.885
8/16/2019,12:54:06 pm,0,818.95,10.687
8/16/2019,01:24:06 pm,0,819.19,10.497
8/16/2019,01:54:06 pm,0,819.23,10.311
8/16/2019,02:24:06 pm,0,819.46,10.146
8/16/2019,02:54:06 pm,0,819.46,10.003
8/16/2019,03:24:06 pm,0,819.36,9.895
8/16/2019,03:54:06 pm,0,819.24,9.855
8/16/2019,04:24:06 pm,0,819.06,9.925
8/16/2019,04:54:06 pm,0,819.04,10.080
8/16/2019,05:24:06 pm,0,818.91,10.306
8/16/2019,05:54:06 pm,0,818.95,10.631
8/16/2019,06:24:06 pm,0,818.88,11.127
8/16/2019,06:54:06 pm,0,818.75,11.604
8/16/2019,07:24:06 pm,0,818.47,12.395
8/16/2019,07:54:06 pm,0,818.29,13.133
8/16/2019,08:24:06 pm,0,818.01,13.895
8/16/2019,08:54:06 pm,0,817.81,14.585
8/16/2019,09:24:06 pm,0,817.57,15.197
8/16/2019,09:54:06 pm,0,817.29,15.729
8/16/2019,10:24:06 pm,0,817.04,16.113
8/16/2019,10:54:06 pm,0,816.84,16.298
8/16/2019,11:24:06 pm,0,816.67,16.395
8/16/2019,11:54:06 pm,0,816.41,16.380
8/17/2019,12:24:06 am,0,816.35,16.312
8/17/2019,12:54:06 am,0,816.15,16.170
8/17/2019,01:24:06 am,0,815.90,15.968
8/17/2019,01:54:06 am,0,815.70,15.734
8/17/2019,02:24:06 am,0,815.69,15.491
8/17/2019,02:54:06 am,0,815.69,15.226
8/17/2019,03:24:06 am,0,815.74,14.971
8/17/2019,03:54:06 am,0,815.73,14.721
8/17/2019,04:24:06 am,0,815.88,14.463
8/17/2019,04:54:06 am,0,816.12,14.197
8/17/2019,05:24:06 am,0,816.06,13.926
8/17/2019,05:54:06 am,0,815.99,13.637
8/17/2019,06:24:06 am,0,815.96,13.339
8/17/2019,06:54:06 am,0,815.95,13.046
8/17/2019,07:24:06 am,0,816.05,12.760
8/17/2019,07:54:06 am,0,816.03,12.484
8/17/2019,08:24:06 am,0,815.98,12.205
8/17/2019,08:54:06 am,0,815.94,11.938
