Serial_number:
2004273
Project ID:

Location:
Lyell_Above_Twin_Bridges
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/8/2019,08:16:08 am,0,758.15,12.010
8/8/2019,08:46:08 am,0,759.15,12.868
8/8/2019,09:16:08 am,0,759.05,11.941
8/8/2019,09:46:08 am,0,809.80,11.212
8/8/2019,10:16:08 am,0,809.73,11.075
8/8/2019,10:46:08 am,0,809.50,11.066
8/8/2019,11:16:08 am,0,809.37,11.055
8/8/2019,11:46:08 am,0,809.34,11.046
8/8/2019,12:16:08 pm,0,809.16,11.042
8/8/2019,12:46:08 pm,0,808.67,11.048
8/8/2019,01:16:08 pm,0,808.22,11.068
8/8/2019,01:46:08 pm,0,807.90,11.103
8/8/2019,02:16:08 pm,0,807.53,11.151
8/8/2019,02:46:08 pm,0,807.47,11.206
8/8/2019,03:16:08 pm,0,807.18,11.266
8/8/2019,03:46:08 pm,0,807.06,11.326
8/8/2019,04:16:08 pm,0,806.69,11.387
8/8/2019,04:46:08 pm,0,806.52,11.451
8/8/2019,05:16:08 pm,0,806.48,11.513
8/8/2019,05:46:08 pm,0,806.17,11.578
8/8/2019,06:16:08 pm,0,806.00,11.640
8/8/2019,06:46:08 pm,0,805.91,11.698
8/8/2019,07:16:08 pm,0,805.94,11.752
8/8/2019,07:46:08 pm,0,805.82,11.798
8/8/2019,08:16:08 pm,0,805.77,11.834
8/8/2019,08:46:08 pm,0,806.01,11.860
8/8/2019,09:16:08 pm,0,806.35,11.874
8/8/2019,09:46:08 pm,0,806.57,11.878
8/8/2019,10:16:08 pm,0,806.81,11.874
8/8/2019,10:46:08 pm,0,806.85,11.862
8/8/2019,11:16:08 pm,0,807.01,11.844
8/8/2019,11:46:08 pm,0,807.33,11.819
8/9/2019,12:16:08 am,0,807.35,11.789
8/9/2019,12:46:08 am,0,807.46,11.752
8/9/2019,01:16:08 am,0,807.52,11.711
8/9/2019,01:46:08 am,0,807.53,11.664
8/9/2019,02:16:08 am,0,807.57,11.612
8/9/2019,02:46:08 am,0,807.75,11.556
8/9/2019,03:16:08 am,0,807.57,11.497
8/9/2019,03:46:08 am,0,807.64,11.434
8/9/2019,04:16:08 am,0,807.62,11.371
8/9/2019,04:46:08 am,0,807.85,11.308
8/9/2019,05:16:08 am,0,807.76,11.247
8/9/2019,05:46:08 am,0,807.79,11.186
8/9/2019,06:16:08 am,0,807.88,11.127
8/9/2019,06:46:08 am,0,807.61,11.067
8/9/2019,07:16:08 am,0,807.64,11.008
8/9/2019,07:46:08 am,0,807.35,10.949
8/9/2019,08:16:08 am,0,806.91,10.892
8/9/2019,08:46:08 am,0,806.77,10.837
8/9/2019,09:16:08 am,0,806.49,10.785
8/9/2019,09:46:08 am,0,806.36,10.737
8/9/2019,10:16:08 am,0,806.40,10.697
8/9/2019,10:46:08 am,0,806.34,10.667
8/9/2019,11:16:08 am,0,806.14,10.650
8/9/2019,11:46:08 am,0,806.04,10.646
8/9/2019,12:16:08 pm,0,805.91,10.654
8/9/2019,12:46:08 pm,0,805.43,10.675
8/9/2019,01:16:08 pm,0,805.31,10.710
8/9/2019,01:46:08 pm,0,805.16,10.756
8/9/2019,02:16:08 pm,0,804.95,10.817
8/9/2019,02:46:08 pm,0,804.76,10.884
8/9/2019,03:16:08 pm,0,804.55,10.959
8/9/2019,03:46:08 pm,0,804.36,11.039
8/9/2019,04:16:08 pm,0,804.00,11.122
8/9/2019,04:46:08 pm,0,803.83,11.205
8/9/2019,05:16:08 pm,0,803.61,11.289
8/9/2019,05:46:08 pm,0,803.37,11.368
8/9/2019,06:16:08 pm,0,803.11,11.444
8/9/2019,06:46:08 pm,0,802.97,11.512
8/9/2019,07:16:08 pm,0,802.80,11.571
8/9/2019,07:46:08 pm,0,802.62,11.620
8/9/2019,08:16:08 pm,0,802.64,11.658
8/9/2019,08:46:08 pm,0,802.64,11.687
8/9/2019,09:16:08 pm,0,802.68,11.704
8/9/2019,09:46:08 pm,0,802.55,11.715
8/9/2019,10:16:08 pm,0,802.66,11.717
8/9/2019,10:46:08 pm,0,802.61,11.712
8/9/2019,11:16:08 pm,0,802.66,11.701
8/9/2019,11:46:08 pm,0,802.53,11.683
8/10/2019,12:16:08 am,0,802.70,11.660
8/10/2019,12:46:08 am,0,802.70,11.632
8/10/2019,01:16:08 am,0,802.61,11.599
8/10/2019,01:46:08 am,0,802.71,11.559
8/10/2019,02:16:08 am,0,802.68,11.514
8/10/2019,02:46:08 am,0,802.67,11.463
8/10/2019,03:16:08 am,0,802.84,11.408
8/10/2019,03:46:08 am,0,802.76,11.347
8/10/2019,04:16:08 am,0,802.94,11.282
8/10/2019,04:46:08 am,0,802.97,11.215
8/10/2019,05:16:08 am,0,803.01,11.145
8/10/2019,05:46:08 am,0,803.06,11.073
8/10/2019,06:16:08 am,0,803.20,11.001
8/10/2019,06:46:08 am,0,803.11,10.930
8/10/2019,07:16:08 am,0,803.25,10.859
8/10/2019,07:46:08 am,0,803.06,10.788
8/10/2019,08:16:08 am,0,802.92,10.721
8/10/2019,08:46:08 am,0,802.63,10.659
8/10/2019,09:16:08 am,0,802.42,10.602
8/10/2019,09:46:08 am,0,802.25,10.550
8/10/2019,10:16:08 am,0,802.28,10.507
8/10/2019,10:46:08 am,0,802.24,10.477
8/10/2019,11:16:08 am,0,802.19,10.462
8/10/2019,11:46:08 am,0,801.99,10.459
8/10/2019,12:16:08 pm,0,801.88,10.467
8/10/2019,12:46:08 pm,0,801.77,10.489
8/10/2019,01:16:08 pm,0,801.63,10.523
8/10/2019,01:46:08 pm,0,801.54,10.569
8/10/2019,02:16:08 pm,0,801.59,10.625
8/10/2019,02:46:08 pm,0,801.45,10.688
8/10/2019,03:16:08 pm,0,801.31,10.757
8/10/2019,03:46:08 pm,0,801.42,10.832
8/10/2019,04:16:08 pm,0,801.07,10.910
8/10/2019,04:46:08 pm,0,800.93,10.990
8/10/2019,05:16:08 pm,0,800.77,11.073
8/10/2019,05:46:08 pm,0,800.58,11.153
8/10/2019,06:16:08 pm,0,800.50,11.229
8/10/2019,06:46:08 pm,0,800.48,11.299
8/10/2019,07:16:08 pm,0,800.59,11.359
8/10/2019,07:46:08 pm,0,800.63,11.410
8/10/2019,08:16:08 pm,0,800.69,11.450
8/10/2019,08:46:08 pm,0,800.75,11.481
8/10/2019,09:16:08 pm,0,800.91,11.503
8/10/2019,09:46:08 pm,0,800.98,11.518
8/10/2019,10:16:08 pm,0,800.91,11.525
