Serial_number:
2052258
Project ID:

Location:
Lyell_Below_Maclure
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/6/2019,08:00:00 pm,0,756.21,23.669
8/6/2019,08:30:00 pm,0,754.54,24.092
8/6/2019,09:00:00 pm,0,752.41,24.594
8/6/2019,09:30:00 pm,0,751.62,25.067
8/6/2019,10:00:00 pm,0,733.12,25.262
8/6/2019,10:30:00 pm,0,733.73,25.262
8/6/2019,11:00:00 pm,0,734.22,25.429
8/6/2019,11:30:00 pm,0,784.56,11.482
8/7/2019,12:00:00 am,0,785.76,11.286
8/7/2019,12:30:00 am,0,786.19,11.187
8/7/2019,01:00:00 am,0,787.06,11.071
8/7/2019,01:30:00 am,0,787.38,10.920
8/7/2019,02:00:00 am,0,788.63,10.748
8/7/2019,02:30:00 am,0,789.80,10.570
8/7/2019,03:00:00 am,0,790.08,10.359
8/7/2019,03:30:00 am,0,790.19,10.165
8/7/2019,04:00:00 am,0,790.44,9.965
8/7/2019,04:30:00 am,0,790.49,9.771
8/7/2019,05:00:00 am,0,790.85,9.557
8/7/2019,05:30:00 am,0,790.09,9.349
8/7/2019,06:00:00 am,0,790.26,9.169
8/7/2019,06:30:00 am,0,790.74,9.015
8/7/2019,07:00:00 am,0,790.52,8.831
8/7/2019,07:30:00 am,0,790.19,8.673
8/7/2019,08:00:00 am,0,789.32,8.511
8/7/2019,08:30:00 am,0,789.40,8.365
8/7/2019,09:00:00 am,0,787.99,8.216
8/7/2019,09:30:00 am,0,788.18,8.040
8/7/2019,10:00:00 am,0,788.06,7.851
8/7/2019,10:30:00 am,0,787.55,7.654
8/7/2019,11:00:00 am,0,787.30,7.499
8/7/2019,11:30:00 am,0,787.67,7.356
8/7/2019,12:00:00 pm,0,787.23,7.218
8/7/2019,12:30:00 pm,0,786.33,7.075
8/7/2019,01:00:00 pm,0,786.67,6.899
8/7/2019,01:30:00 pm,0,786.57,6.746
8/7/2019,02:00:00 pm,0,786.52,6.634
8/7/2019,02:30:00 pm,0,786.29,6.618
8/7/2019,03:00:00 pm,0,786.21,6.667
8/7/2019,03:30:00 pm,0,785.59,6.705
8/7/2019,04:00:00 pm,0,785.94,6.723
8/7/2019,04:30:00 pm,0,785.31,6.769
8/7/2019,05:00:00 pm,0,785.10,6.867
8/7/2019,05:30:00 pm,0,785.40,7.033
8/7/2019,06:00:00 pm,0,785.14,7.427
8/7/2019,06:30:00 pm,0,784.36,8.036
8/7/2019,07:00:00 pm,0,784.89,8.668
8/7/2019,07:30:00 pm,0,784.56,9.159
8/7/2019,08:00:00 pm,0,784.51,9.381
8/7/2019,08:30:00 pm,0,784.26,9.434
8/7/2019,09:00:00 pm,0,783.88,9.552
8/7/2019,09:30:00 pm,0,782.81,9.616
8/7/2019,10:00:00 pm,0,782.98,9.618
8/7/2019,10:30:00 pm,0,783.38,9.735
8/7/2019,11:00:00 pm,0,783.85,9.913
8/7/2019,11:30:00 pm,0,783.55,10.027
8/8/2019,12:00:00 am,0,783.47,10.008
8/8/2019,12:30:00 am,0,784.91,9.916
8/8/2019,01:00:00 am,0,785.31,9.817
