Serial_number:
2004212
Project ID:

Location:
TUTR120
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/8/2019,06:46:33 pm,0,757.77,15.650
8/8/2019,07:16:33 pm,0,760.50,20.781
8/8/2019,07:46:33 pm,0,759.65,28.988
8/8/2019,08:16:33 pm,0,802.87,12.208
8/8/2019,08:46:33 pm,0,802.85,12.091
8/8/2019,09:16:33 pm,0,802.41,12.468
8/8/2019,09:46:33 pm,0,802.08,12.737
8/8/2019,10:16:33 pm,0,801.52,12.855
8/8/2019,10:46:33 pm,0,801.43,13.064
8/8/2019,11:16:33 pm,0,801.14,13.261
8/8/2019,11:46:33 pm,0,800.96,13.585
8/9/2019,12:16:33 am,0,800.51,13.904
8/9/2019,12:46:33 am,0,800.35,14.130
8/9/2019,01:16:33 am,0,800.13,14.327
8/9/2019,01:46:33 am,0,799.78,14.468
8/9/2019,02:16:33 am,0,799.44,14.505
8/9/2019,02:46:33 am,0,799.29,14.437
8/9/2019,03:16:33 am,0,799.14,14.282
8/9/2019,03:46:33 am,0,798.88,14.067
8/9/2019,04:16:33 am,0,798.69,13.823
8/9/2019,04:46:33 am,0,798.65,13.585
8/9/2019,05:16:33 am,0,798.84,13.354
8/9/2019,05:46:33 am,0,799.07,13.107
8/9/2019,06:16:33 am,0,799.35,12.841
8/9/2019,06:46:33 am,0,799.26,12.555
8/9/2019,07:16:33 am,0,799.24,12.266
8/9/2019,07:46:33 am,0,799.38,11.982
8/9/2019,08:16:33 am,0,799.33,11.709
8/9/2019,08:46:33 am,0,799.54,11.448
8/9/2019,09:16:33 am,0,799.65,11.188
8/9/2019,09:46:33 am,0,799.74,10.941
8/9/2019,10:16:33 am,0,799.86,10.691
8/9/2019,10:46:33 am,0,800.22,10.448
8/9/2019,11:16:33 am,0,800.17,10.207
8/9/2019,11:46:33 am,0,800.39,9.967
8/9/2019,12:16:33 pm,0,800.54,9.731
8/9/2019,12:46:33 pm,0,800.79,9.497
8/9/2019,01:16:33 pm,0,800.66,9.269
8/9/2019,01:46:33 pm,0,800.88,9.050
8/9/2019,02:16:33 pm,0,801.08,8.847
8/9/2019,02:46:33 pm,0,800.96,8.671
8/9/2019,03:16:33 pm,0,800.99,8.516
8/9/2019,03:46:33 pm,0,800.68,8.394
8/9/2019,04:16:33 pm,0,800.53,8.331
8/9/2019,04:46:33 pm,0,800.48,8.354
8/9/2019,05:16:33 pm,0,800.03,8.465
8/9/2019,05:46:33 pm,0,800.02,8.675
8/9/2019,06:16:33 pm,0,799.92,8.975
8/9/2019,06:46:33 pm,0,799.93,9.349
8/9/2019,07:16:33 pm,0,799.77,9.789
8/9/2019,07:46:33 pm,0,799.66,10.287
8/9/2019,08:16:33 pm,0,799.46,10.822
8/9/2019,08:46:33 pm,0,799.27,11.380
8/9/2019,09:16:33 pm,0,798.92,11.937
8/9/2019,09:46:33 pm,0,798.63,12.486
8/9/2019,10:16:33 pm,0,798.52,13.029
8/9/2019,10:46:33 pm,0,798.31,13.526
8/9/2019,11:16:33 pm,0,797.97,13.945
8/9/2019,11:46:33 pm,0,797.69,14.297
8/10/2019,12:16:33 am,0,797.31,14.586
8/10/2019,12:46:33 am,0,796.93,14.768
8/10/2019,01:16:33 am,0,796.65,14.843
8/10/2019,01:46:33 am,0,796.39,14.832
8/10/2019,02:16:33 am,0,796.08,14.741
8/10/2019,02:46:33 am,0,795.75,14.568
8/10/2019,03:16:33 am,0,795.63,14.326
8/10/2019,03:46:33 am,0,795.28,14.045
8/10/2019,04:16:33 am,0,795.25,13.764
8/10/2019,04:46:33 am,0,795.18,13.490
