Serial_number:
2052075
Project ID:

Location:
BugCamp_Baro
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,BAROMETRIC PRESSURE,TEMPERATURE
8/26/2020,06:30:00 pm,0,74.1584,14.967
8/26/2020,07:00:00 pm,0,74.1635,16.874
8/26/2020,07:30:00 pm,0,74.1541,18.060
8/26/2020,08:00:00 pm,0,74.1336,18.956
8/26/2020,08:30:00 pm,0,74.1326,19.833
8/26/2020,09:00:00 pm,0,74.1173,21.064
8/26/2020,09:30:00 pm,0,74.1078,21.956
8/26/2020,10:00:00 pm,0,74.1020,22.474
8/26/2020,10:30:00 pm,0,74.0954,22.465
8/26/2020,11:00:00 pm,0,74.0715,22.271
8/26/2020,11:30:00 pm,0,74.0715,22.048
8/27/2020,12:00:00 am,0,74.0626,21.757
8/27/2020,12:30:00 am,0,74.0461,21.528
8/27/2020,01:00:00 am,0,74.0355,21.333
8/27/2020,01:30:00 am,0,74.0285,21.208
8/27/2020,02:00:00 am,0,74.0304,20.977
8/27/2020,02:30:00 am,0,74.0267,20.719
8/27/2020,03:00:00 am,0,74.0403,20.338
8/27/2020,03:30:00 am,0,74.0495,19.955
8/27/2020,04:00:00 am,0,74.0712,19.541
8/27/2020,04:30:00 am,0,74.0848,19.114
8/27/2020,05:00:00 am,0,74.0856,18.600
8/27/2020,05:30:00 am,0,74.0850,18.045
8/27/2020,06:00:00 am,0,74.0843,17.447
8/27/2020,06:30:00 am,0,74.0777,16.843
8/27/2020,07:00:00 am,0,74.0920,16.250
8/27/2020,07:30:00 am,0,74.1060,15.665
8/27/2020,08:00:00 am,0,74.0987,15.099
8/27/2020,08:30:00 am,0,74.0883,14.533
8/27/2020,09:00:00 am,0,74.0767,13.993
8/27/2020,09:30:00 am,0,74.0668,13.456
8/27/2020,10:00:00 am,0,74.0548,12.911
8/27/2020,10:30:00 am,0,74.0530,12.388
8/27/2020,11:00:00 am,0,74.0573,11.842
8/27/2020,11:30:00 am,0,74.0596,11.300
8/27/2020,12:00:00 pm,0,74.0575,10.766
8/27/2020,12:30:00 pm,0,74.0632,10.255
8/27/2020,01:00:00 pm,0,74.0776,9.743
8/27/2020,01:30:00 pm,0,74.1010,9.256
8/27/2020,02:00:00 pm,0,74.1243,8.812
8/27/2020,02:30:00 pm,0,74.1277,8.368
8/27/2020,03:00:00 pm,0,74.1251,7.940
8/27/2020,03:30:00 pm,0,74.1193,8.745
8/27/2020,04:00:00 pm,0,74.1176,9.644
8/27/2020,04:30:00 pm,0,74.1155,10.363
8/27/2020,05:00:00 pm,0,74.1287,11.571
8/27/2020,05:30:00 pm,0,74.1261,12.920
8/27/2020,06:00:00 pm,0,74.1241,14.015
8/27/2020,06:30:00 pm,0,74.1067,15.027
8/27/2020,07:00:00 pm,0,74.0972,16.029
8/27/2020,07:30:00 pm,0,74.0732,17.028
8/27/2020,08:00:00 pm,0,74.0641,17.963
8/27/2020,08:30:00 pm,0,74.0518,19.000
8/27/2020,09:00:00 pm,0,74.0465,19.971
8/27/2020,09:30:00 pm,0,74.0343,20.683
8/27/2020,10:00:00 pm,0,74.0258,21.259
8/27/2020,10:30:00 pm,0,74.0195,21.574
8/27/2020,11:00:00 pm,0,74.0229,21.805
8/27/2020,11:30:00 pm,0,74.0266,21.893
8/28/2020,12:00:00 am,0,74.0357,21.934
8/28/2020,12:30:00 am,0,74.0368,21.489
8/28/2020,01:00:00 am,0,74.0365,21.353
8/28/2020,01:30:00 am,0,74.0371,21.217
8/28/2020,02:00:00 am,0,74.0435,21.012
8/28/2020,02:30:00 am,0,74.0476,20.720
8/28/2020,03:00:00 am,0,74.0663,20.405
8/28/2020,03:30:00 am,0,74.0831,20.012
8/28/2020,04:00:00 am,0,74.1003,19.610
8/28/2020,04:30:00 am,0,74.1178,19.119
8/28/2020,05:00:00 am,0,74.1216,18.626
8/28/2020,05:30:00 am,0,74.1377,18.072
8/28/2020,06:00:00 am,0,74.1318,17.544
8/28/2020,06:30:00 am,0,74.1307,16.994
8/28/2020,07:00:00 am,0,74.1253,16.472
8/28/2020,07:30:00 am,0,74.1279,15.921
8/28/2020,08:00:00 am,0,74.1143,15.350
8/28/2020,08:30:00 am,0,74.1034,14.771
8/28/2020,09:00:00 am,0,74.0845,14.178
8/28/2020,09:30:00 am,0,74.0771,13.614
8/28/2020,10:00:00 am,0,74.0741,13.058
8/28/2020,10:30:00 am,0,74.0699,12.539
8/28/2020,11:00:00 am,0,74.0730,12.072
8/28/2020,11:30:00 am,0,74.0785,11.619
8/28/2020,12:00:00 pm,0,74.0906,11.225
8/28/2020,12:30:00 pm,0,74.0952,10.876
8/28/2020,01:00:00 pm,0,74.1232,10.570
8/28/2020,01:30:00 pm,0,74.1436,10.284
8/28/2020,02:00:00 pm,0,74.1515,10.005
8/28/2020,02:30:00 pm,0,74.1565,9.821
8/28/2020,03:00:00 pm,0,74.1615,9.764
8/28/2020,03:30:00 pm,0,74.1655,10.215
8/28/2020,04:00:00 pm,0,74.1647,10.642
8/28/2020,04:30:00 pm,0,74.1754,11.363
8/28/2020,05:00:00 pm,0,74.2051,12.190
8/28/2020,05:30:00 pm,0,74.2181,13.194
8/28/2020,06:00:00 pm,0,74.2284,14.102
8/28/2020,06:30:00 pm,0,74.2244,14.951
