Serial_number:
2064901
Project ID:

Location:
Conness Creek
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,BAROMETRIC PRESSURE,TEMPERATURE
8/11/2020,07:00:00 pm,0,76.5917,24.756
8/11/2020,07:30:00 pm,0,76.6110,21.177
8/11/2020,08:00:00 pm,0,76.5935,21.745
8/11/2020,08:30:00 pm,0,76.6060,22.349
8/11/2020,09:00:00 pm,0,76.6064,20.139
8/11/2020,09:30:00 pm,0,76.6272,19.484
8/11/2020,10:00:00 pm,0,76.6507,18.723
8/11/2020,10:30:00 pm,0,76.6454,18.172
8/11/2020,11:00:00 pm,0,76.6382,17.630
8/11/2020,11:30:00 pm,0,76.6246,17.404
8/12/2020,12:00:00 am,0,76.6149,17.207
8/12/2020,12:30:00 am,0,76.5995,17.127
8/12/2020,01:00:00 am,0,76.5721,17.047
8/12/2020,01:30:00 am,0,76.5493,18.501
8/12/2020,02:00:00 am,0,76.5688,17.812
8/12/2020,02:30:00 am,0,76.5951,16.943
8/12/2020,03:00:00 am,0,76.6224,16.066
8/12/2020,03:30:00 am,0,76.6420,15.374
8/12/2020,04:00:00 am,0,76.6873,14.365
8/12/2020,04:30:00 am,0,76.7336,13.286
8/12/2020,05:00:00 am,0,76.7712,12.518
8/12/2020,05:30:00 am,0,76.7725,12.036
8/12/2020,06:00:00 am,0,76.7849,11.358
8/12/2020,06:30:00 am,0,76.7919,10.893
8/12/2020,07:00:00 am,0,76.7997,10.532
8/12/2020,07:30:00 am,0,76.8022,10.065
8/12/2020,08:00:00 am,0,76.8121,9.753
8/12/2020,08:30:00 am,0,76.7961,9.525
8/12/2020,09:00:00 am,0,76.7827,9.166
8/12/2020,09:30:00 am,0,76.7801,8.895
8/12/2020,10:00:00 am,0,76.7665,8.650
8/12/2020,10:30:00 am,0,76.7748,8.351
8/12/2020,11:00:00 am,0,76.7753,8.032
8/12/2020,11:30:00 am,0,76.7775,7.695
8/12/2020,12:00:00 pm,0,76.7767,7.376
8/12/2020,12:30:00 pm,0,76.7836,7.084
8/12/2020,01:00:00 pm,0,76.7934,6.837
8/12/2020,01:30:00 pm,0,76.8082,6.565
8/12/2020,02:00:00 pm,0,76.8265,6.439
8/12/2020,02:30:00 pm,0,76.8285,6.462
8/12/2020,03:00:00 pm,0,76.8079,7.412
8/12/2020,03:30:00 pm,0,76.7880,8.661
8/12/2020,04:00:00 pm,0,76.7625,9.620
8/12/2020,04:30:00 pm,0,76.7313,10.889
8/12/2020,05:00:00 pm,0,76.6967,13.574
8/12/2020,05:30:00 pm,0,76.6865,18.168
8/12/2020,06:00:00 pm,0,76.6929,20.209
8/12/2020,06:30:00 pm,0,76.6931,21.814
8/12/2020,07:00:00 pm,0,76.6844,23.557
8/12/2020,07:30:00 pm,0,76.6849,23.671
8/12/2020,08:00:00 pm,0,76.6798,23.749
8/12/2020,08:30:00 pm,0,76.6785,23.469
8/12/2020,09:00:00 pm,0,76.6827,23.177
8/12/2020,09:30:00 pm,0,76.6852,22.696
8/12/2020,10:00:00 pm,0,76.6829,22.455
8/12/2020,10:30:00 pm,0,76.6553,22.320
8/12/2020,11:00:00 pm,0,76.6568,22.454
8/12/2020,11:30:00 pm,0,76.6682,22.361
8/13/2020,12:00:00 am,0,76.6644,22.234
8/13/2020,12:30:00 am,0,76.6666,21.880
8/13/2020,01:00:00 am,0,76.6710,21.455
8/13/2020,01:30:00 am,0,76.6764,20.552
8/13/2020,02:00:00 am,0,76.6943,19.647
8/13/2020,02:30:00 am,0,76.7129,18.824
8/13/2020,03:00:00 am,0,76.7523,17.988
8/13/2020,03:30:00 am,0,76.7689,17.272
8/13/2020,04:00:00 am,0,76.8176,16.300
8/13/2020,04:30:00 am,0,76.8671,14.991
8/13/2020,05:00:00 am,0,76.8849,13.876
8/13/2020,05:30:00 am,0,76.9010,13.128
8/13/2020,06:00:00 am,0,76.9223,12.476
