Serial_number:
2065021
Project ID:

Location:
Dana_Fork_at_Bug_Camp
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/12/2020,06:38:57 pm,0,760.41,16.981
8/12/2020,07:08:57 pm,0,776.39,12.300
8/12/2020,07:38:57 pm,0,776.30,12.699
8/12/2020,08:08:57 pm,0,776.18,13.229
8/12/2020,08:38:57 pm,0,776.27,13.807
8/12/2020,09:08:57 pm,0,776.21,14.378
8/12/2020,09:38:57 pm,0,776.09,14.903
8/12/2020,10:08:57 pm,0,775.96,15.350
8/12/2020,10:38:57 pm,0,775.68,15.714
8/12/2020,11:08:57 pm,0,775.63,15.986
8/12/2020,11:38:57 pm,0,775.60,16.151
8/13/2020,12:08:57 am,0,775.52,16.223
8/13/2020,12:38:57 am,0,775.44,16.207
8/13/2020,01:08:57 am,0,775.44,16.110
8/13/2020,01:38:57 am,0,775.44,15.953
8/13/2020,02:08:57 am,0,775.58,15.759
8/13/2020,02:38:57 am,0,775.84,15.548
8/13/2020,03:08:57 am,0,775.99,15.342
8/13/2020,03:38:57 am,0,776.21,15.151
8/13/2020,04:08:57 am,0,776.57,14.971
8/13/2020,04:38:57 am,0,776.75,14.788
8/13/2020,05:08:57 am,0,776.78,14.600
8/13/2020,05:38:57 am,0,776.71,14.402
8/13/2020,06:08:57 am,0,776.83,14.201
8/13/2020,06:38:57 am,0,776.98,13.997
8/13/2020,07:08:57 am,0,777.06,13.798
8/13/2020,07:38:57 am,0,777.07,13.601
8/13/2020,08:08:57 am,0,777.03,13.404
8/13/2020,08:38:57 am,0,776.98,13.201
8/13/2020,09:08:57 am,0,776.91,12.987
8/13/2020,09:38:57 am,0,776.87,12.769
8/13/2020,10:08:57 am,0,776.75,12.546
8/13/2020,10:38:57 am,0,776.66,12.318
8/13/2020,11:08:57 am,0,776.70,12.095
8/13/2020,11:38:57 am,0,776.69,11.875
8/13/2020,12:08:57 pm,0,776.69,11.665
8/13/2020,12:38:57 pm,0,776.72,11.462
8/13/2020,01:08:57 pm,0,776.87,11.267
8/13/2020,01:38:57 pm,0,777.06,11.075
8/13/2020,02:08:57 pm,0,777.20,10.892
8/13/2020,02:38:57 pm,0,777.09,10.719
8/13/2020,03:08:57 pm,0,777.22,10.570
8/13/2020,03:38:57 pm,0,777.22,10.476
8/13/2020,04:08:57 pm,0,777.13,10.445
8/13/2020,04:38:57 pm,0,777.45,10.497
8/13/2020,05:08:57 pm,0,777.53,10.726
8/13/2020,05:38:57 pm,0,777.65,11.070
8/13/2020,06:08:57 pm,0,777.46,11.528
8/13/2020,06:38:57 pm,0,777.46,12.000
8/13/2020,07:08:57 pm,0,777.60,12.497
8/13/2020,07:38:57 pm,0,777.79,12.991
8/13/2020,08:08:57 pm,0,777.75,13.418
8/13/2020,08:38:57 pm,0,777.79,13.791
8/13/2020,09:08:57 pm,0,777.74,14.143
8/13/2020,09:38:57 pm,0,777.67,14.385
8/13/2020,10:08:57 pm,0,777.57,14.539
8/13/2020,10:38:57 pm,0,777.37,14.632
8/13/2020,11:08:57 pm,0,777.24,14.657
8/13/2020,11:38:57 pm,0,777.12,14.643
8/14/2020,12:08:57 am,0,777.21,14.599
8/14/2020,12:38:57 am,0,777.16,14.539
8/14/2020,01:08:57 am,0,777.11,14.473
8/14/2020,01:38:57 am,0,777.02,14.398
