Serial_number:
2052257
Project ID:

Location:
Delaney Creek
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/13/2020,07:53:54 pm,0,761.32,14.415
8/13/2020,08:23:54 pm,0,765.34,20.029
8/13/2020,08:53:54 pm,0,763.14,21.411
8/13/2020,09:23:54 pm,0,762.94,23.903
8/13/2020,09:53:54 pm,0,790.12,12.352
8/13/2020,10:23:54 pm,0,789.91,12.440
8/13/2020,10:53:54 pm,0,789.96,12.557
8/13/2020,11:23:54 pm,0,789.80,12.670
8/13/2020,11:53:54 pm,0,789.75,12.748
8/14/2020,12:23:54 am,0,789.74,12.811
8/14/2020,12:53:54 am,0,789.58,12.862
8/14/2020,01:23:54 am,0,789.43,12.887
8/14/2020,01:53:54 am,0,789.29,12.904
8/14/2020,02:23:54 am,0,789.20,12.915
8/14/2020,02:53:54 am,0,789.24,12.900
8/14/2020,03:23:54 am,0,789.34,12.839
8/14/2020,03:53:54 am,0,789.48,12.766
8/14/2020,04:23:54 am,0,789.64,12.687
8/14/2020,04:53:54 am,0,789.67,12.599
8/14/2020,05:23:54 am,0,789.74,12.525
8/14/2020,05:53:54 am,0,789.49,12.457
8/14/2020,06:23:54 am,0,789.27,12.385
8/14/2020,06:53:54 am,0,789.25,12.309
8/14/2020,07:23:54 am,0,789.28,12.228
8/14/2020,07:53:54 am,0,789.27,12.151
8/14/2020,08:23:54 am,0,789.11,12.099
8/14/2020,08:53:54 am,0,789.00,12.060
8/14/2020,09:23:54 am,0,788.83,12.019
8/14/2020,09:53:54 am,0,788.79,11.972
8/14/2020,10:23:54 am,0,788.78,11.946
8/14/2020,10:53:54 am,0,788.74,11.900
8/14/2020,11:23:54 am,0,788.61,11.862
8/14/2020,11:53:54 am,0,788.70,11.806
8/14/2020,12:23:54 pm,0,788.79,11.775
8/14/2020,12:53:54 pm,0,789.03,11.730
8/14/2020,01:23:54 pm,0,789.24,11.684
8/14/2020,01:53:54 pm,0,789.43,11.660
8/14/2020,02:23:54 pm,0,789.52,11.634
8/14/2020,02:53:54 pm,0,789.52,11.603
8/14/2020,03:23:54 pm,0,789.67,11.592
8/14/2020,03:53:54 pm,0,789.84,11.587
8/14/2020,04:23:54 pm,0,789.97,11.579
8/14/2020,04:53:54 pm,0,790.16,11.639
8/14/2020,05:23:54 pm,0,790.21,11.684
8/14/2020,05:53:54 pm,0,790.30,11.668
8/14/2020,06:23:54 pm,0,790.41,11.812
8/14/2020,06:53:54 pm,0,790.42,11.935
8/14/2020,07:23:54 pm,0,790.44,12.150
8/14/2020,07:53:54 pm,0,790.52,12.571
8/14/2020,08:23:54 pm,0,790.61,13.106
8/14/2020,08:53:54 pm,0,790.76,13.644
8/14/2020,09:23:54 pm,0,790.78,14.063
8/14/2020,09:53:54 pm,0,790.93,14.463
8/14/2020,10:23:54 pm,0,790.68,14.713
8/14/2020,10:53:54 pm,0,790.41,14.865
8/14/2020,11:23:54 pm,0,790.15,15.016
8/14/2020,11:53:54 pm,0,789.97,15.124
8/15/2020,12:23:54 am,0,789.75,15.213
8/15/2020,12:53:54 am,0,789.53,15.220
8/15/2020,01:23:54 am,0,789.40,15.214
8/15/2020,01:53:54 am,0,789.31,15.217
8/15/2020,02:23:54 am,0,789.34,15.209
8/15/2020,02:53:54 am,0,789.41,15.155
8/15/2020,03:23:54 am,0,789.40,15.082
8/15/2020,03:53:54 am,0,789.59,14.971
8/15/2020,04:23:54 am,0,789.81,14.881
8/15/2020,04:53:54 am,0,789.89,14.757
8/15/2020,05:23:54 am,0,789.92,14.614
8/15/2020,05:53:54 am,0,789.90,14.475
8/15/2020,06:23:54 am,0,789.73,14.345
8/15/2020,06:53:54 am,0,789.71,14.212
8/15/2020,07:23:54 am,0,789.58,14.090
8/15/2020,07:53:54 am,0,789.50,13.974
8/15/2020,08:23:54 am,0,789.32,13.852
8/15/2020,08:53:54 am,0,789.17,13.725
8/15/2020,09:23:54 am,0,789.07,13.619
8/15/2020,09:53:54 am,0,789.07,13.499
8/15/2020,10:23:54 am,0,789.10,13.377
8/15/2020,10:53:54 am,0,789.07,13.261
8/15/2020,11:23:54 am,0,789.04,13.136
8/15/2020,11:53:54 am,0,789.13,13.028
8/15/2020,12:23:54 pm,0,789.30,12.915
8/15/2020,12:53:54 pm,0,789.46,12.796
8/15/2020,01:23:54 pm,0,789.75,12.697
8/15/2020,01:53:54 pm,0,789.89,12.604
8/15/2020,02:23:54 pm,0,790.08,12.511
8/15/2020,02:53:54 pm,0,790.21,12.427
8/15/2020,03:23:54 pm,0,790.18,12.381
8/15/2020,03:53:54 pm,0,790.12,12.362
8/15/2020,04:23:54 pm,0,790.08,12.380
8/15/2020,04:53:54 pm,0,790.03,12.405
8/15/2020,05:23:54 pm,0,790.23,12.459
8/15/2020,05:53:54 pm,0,790.34,12.484
8/15/2020,06:23:54 pm,0,790.34,12.631
8/15/2020,06:53:54 pm,0,790.23,12.721
8/15/2020,07:23:54 pm,0,790.28,12.817
8/15/2020,07:53:54 pm,0,790.32,13.038
8/15/2020,08:23:54 pm,0,790.37,13.250
8/15/2020,08:53:54 pm,0,790.44,13.468
8/15/2020,09:23:54 pm,0,790.83,13.561
8/15/2020,09:53:54 pm,0,791.24,13.616
8/15/2020,10:23:54 pm,0,791.32,13.820
8/15/2020,10:53:54 pm,0,791.09,13.972
8/15/2020,11:23:54 pm,0,790.92,14.108
8/15/2020,11:53:54 pm,0,790.85,14.223
8/16/2020,12:23:54 am,0,790.83,14.313
8/16/2020,12:53:54 am,0,791.22,14.366
8/16/2020,01:23:54 am,0,791.29,14.377
8/16/2020,01:53:54 am,0,791.21,14.387
8/16/2020,02:23:54 am,0,791.24,14.387
8/16/2020,02:53:54 am,0,791.52,14.369
8/16/2020,03:23:54 am,0,791.79,14.362
8/16/2020,03:53:54 am,0,791.96,14.315
8/16/2020,04:23:54 am,0,792.18,14.260
8/16/2020,04:53:54 am,0,792.36,14.209
8/16/2020,05:23:54 am,0,792.29,14.161
8/16/2020,05:53:54 am,0,792.08,14.097
8/16/2020,06:23:54 am,0,791.83,14.048
8/16/2020,06:53:54 am,0,791.64,13.984
8/16/2020,07:23:54 am,0,791.52,13.921
8/16/2020,07:53:54 am,0,791.36,13.862
8/16/2020,08:23:54 am,0,790.98,13.784
8/16/2020,08:53:54 am,0,790.86,13.704
8/16/2020,09:23:54 am,0,790.74,13.623
8/16/2020,09:53:54 am,0,790.77,13.545
8/16/2020,10:23:54 am,0,790.80,13.457
8/16/2020,10:53:54 am,0,790.68,13.362
8/16/2020,11:23:54 am,0,790.70,13.260
8/16/2020,11:53:54 am,0,790.72,13.168
8/16/2020,12:23:54 pm,0,790.80,13.072
8/16/2020,12:53:54 pm,0,790.94,12.979
8/16/2020,01:23:54 pm,0,790.99,12.891
8/16/2020,01:53:54 pm,0,791.22,12.820
8/16/2020,02:23:54 pm,0,791.04,12.746
8/16/2020,02:53:54 pm,0,791.01,12.671
8/16/2020,03:23:54 pm,0,790.85,12.634
8/16/2020,03:53:54 pm,0,790.72,12.585
8/16/2020,04:23:54 pm,0,790.71,12.575
8/16/2020,04:53:54 pm,0,790.95,12.646
8/16/2020,05:23:54 pm,0,791.13,12.714
8/16/2020,05:53:54 pm,0,791.31,12.738
8/16/2020,06:23:54 pm,0,791.43,12.839
8/16/2020,06:53:54 pm,0,791.55,12.949
8/16/2020,07:23:54 pm,0,791.86,13.152
8/16/2020,07:53:54 pm,0,791.87,13.328
8/16/2020,08:23:54 pm,0,791.89,13.570
8/16/2020,08:53:54 pm,0,791.84,13.805
8/16/2020,09:23:54 pm,0,791.95,13.969
8/16/2020,09:53:54 pm,0,791.82,14.090
8/16/2020,10:23:54 pm,0,791.98,14.221
8/16/2020,10:53:54 pm,0,791.90,14.316
8/16/2020,11:23:54 pm,0,791.80,14.420
8/16/2020,11:53:54 pm,0,791.76,14.512
8/17/2020,12:23:54 am,0,791.77,14.575
8/17/2020,12:53:54 am,0,791.77,14.596
8/17/2020,01:23:54 am,0,791.76,14.607
8/17/2020,01:53:54 am,0,791.99,14.588
8/17/2020,02:23:54 am,0,792.51,14.557
8/17/2020,02:53:54 am,0,792.72,14.532
8/17/2020,03:23:54 am,0,793.10,14.534
8/17/2020,03:53:54 am,0,793.54,14.519
8/17/2020,04:23:54 am,0,793.49,14.459
8/17/2020,04:53:54 am,0,793.78,14.369
8/17/2020,05:23:54 am,0,793.70,14.286
8/17/2020,05:53:54 am,0,793.52,14.195
8/17/2020,06:23:54 am,0,793.49,14.092
8/17/2020,06:53:54 am,0,793.59,14.005
8/17/2020,07:23:54 am,0,793.58,13.929
8/17/2020,07:53:54 am,0,793.53,13.851
8/17/2020,08:23:54 am,0,793.39,13.767
8/17/2020,08:53:54 am,0,793.29,13.673
8/17/2020,09:23:54 am,0,793.27,13.583
8/17/2020,09:53:54 am,0,793.18,13.504
8/17/2020,10:23:54 am,0,792.93,13.433
8/17/2020,10:53:54 am,0,792.93,13.357
8/17/2020,11:23:54 am,0,792.89,13.279
8/17/2020,11:53:54 am,0,792.83,13.197
8/17/2020,12:23:54 pm,0,792.83,13.131
8/17/2020,12:53:54 pm,0,792.92,13.067
8/17/2020,01:23:54 pm,0,792.99,12.995
8/17/2020,01:53:54 pm,0,793.19,12.932
8/17/2020,02:23:54 pm,0,793.13,12.858
8/17/2020,02:53:54 pm,0,793.22,12.787
