Serial_number:
2065032
Project ID:

Location:
Lyell above Twin Bridges
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/13/2020,05:07:37 pm,0,760.61,13.505
8/13/2020,05:37:37 pm,0,761.12,20.443
8/13/2020,06:07:37 pm,0,761.25,22.110
8/13/2020,06:37:37 pm,0,790.99,14.365
8/13/2020,07:07:37 pm,0,791.05,14.113
8/13/2020,07:37:37 pm,0,791.23,14.045
8/13/2020,08:07:37 pm,0,791.19,14.017
8/13/2020,08:37:37 pm,0,791.31,14.010
8/13/2020,09:07:37 pm,0,791.39,14.017
8/13/2020,09:37:37 pm,0,791.41,14.033
8/13/2020,10:07:37 pm,0,791.42,14.056
8/13/2020,10:37:37 pm,0,791.36,14.086
8/13/2020,11:07:37 pm,0,791.33,14.119
8/13/2020,11:37:37 pm,0,791.22,14.157
8/14/2020,12:07:37 am,0,791.23,14.198
8/14/2020,12:37:37 am,0,791.24,14.240
8/14/2020,01:07:37 am,0,791.20,14.284
8/14/2020,01:37:37 am,0,791.20,14.329
8/14/2020,02:07:37 am,0,791.24,14.371
8/14/2020,02:37:37 am,0,791.21,14.413
8/14/2020,03:07:37 am,0,791.34,14.451
8/14/2020,03:37:37 am,0,791.56,14.487
8/14/2020,04:07:37 am,0,791.82,14.516
8/14/2020,04:37:37 am,0,792.04,14.542
8/14/2020,05:07:37 am,0,792.19,14.563
8/14/2020,05:37:37 am,0,792.24,14.579
8/14/2020,06:07:37 am,0,792.12,14.590
8/14/2020,06:37:37 am,0,792.02,14.596
8/14/2020,07:07:37 am,0,791.98,14.597
8/14/2020,07:37:37 am,0,791.95,14.593
8/14/2020,08:07:37 am,0,791.89,14.586
8/14/2020,08:37:37 am,0,791.74,14.574
8/14/2020,09:07:37 am,0,791.62,14.559
8/14/2020,09:37:37 am,0,791.40,14.543
8/14/2020,10:07:37 am,0,791.29,14.522
8/14/2020,10:37:37 am,0,791.22,14.500
8/14/2020,11:07:37 am,0,791.05,14.475
8/14/2020,11:37:37 am,0,790.93,14.448
8/14/2020,12:07:37 pm,0,790.96,14.419
8/14/2020,12:37:37 pm,0,791.03,14.387
8/14/2020,01:07:37 pm,0,791.12,14.355
8/14/2020,01:37:37 pm,0,791.29,14.320
8/14/2020,02:07:37 pm,0,791.40,14.284
8/14/2020,02:37:37 pm,0,791.38,14.247
8/14/2020,03:07:37 pm,0,791.38,14.211
8/14/2020,03:37:37 pm,0,791.45,14.180
8/14/2020,04:07:37 pm,0,791.60,14.155
8/14/2020,04:37:37 pm,0,791.64,14.138
8/14/2020,05:07:37 pm,0,791.80,14.129
8/14/2020,05:37:37 pm,0,791.89,14.128
8/14/2020,06:07:37 pm,0,792.04,14.137
8/14/2020,06:37:37 pm,0,792.16,14.154
8/14/2020,07:07:37 pm,0,792.16,14.179
8/14/2020,07:37:37 pm,0,792.09,14.213
8/14/2020,08:07:37 pm,0,792.11,14.255
8/14/2020,08:37:37 pm,0,792.20,14.305
8/14/2020,09:07:37 pm,0,792.21,14.366
8/14/2020,09:37:37 pm,0,792.21,14.433
