Serial_number:
2045039
Project ID:

Location:
Lyell below Maclure
LEVEL
UNIT: kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,BAROMETRIC PRESSURE,TEMPERATURE
8/18/2020,08:00:00 pm,0,74.5892,21.683
8/18/2020,08:05:00 pm,0,74.5878,21.812
8/18/2020,08:10:00 pm,0,74.5776,21.937
8/18/2020,08:15:00 pm,0,74.5775,22.071
8/18/2020,08:20:00 pm,0,74.5676,22.236
8/18/2020,08:25:00 pm,0,74.5602,22.432
8/18/2020,08:30:00 pm,0,74.5520,22.662
8/18/2020,08:35:00 pm,0,74.5544,22.937
8/18/2020,08:40:00 pm,0,74.5436,23.201
8/18/2020,08:45:00 pm,0,74.4934,23.435
8/18/2020,08:50:00 pm,0,74.4576,23.629
8/18/2020,08:55:00 pm,0,74.4522,23.795
8/18/2020,09:00:00 pm,0,74.4514,23.946
8/18/2020,09:05:00 pm,0,74.4409,24.091
8/18/2020,09:10:00 pm,0,74.3079,24.236
8/18/2020,09:15:00 pm,0,74.3131,24.380
8/18/2020,09:20:00 pm,0,74.3292,24.520
8/18/2020,09:25:00 pm,0,74.2868,24.645
8/18/2020,09:30:00 pm,0,74.2730,24.754
8/18/2020,09:35:00 pm,0,74.2588,24.851
8/18/2020,09:40:00 pm,0,73.9708,24.938
8/18/2020,09:45:00 pm,0,73.7427,25.017
8/18/2020,09:50:00 pm,0,73.6533,25.091
8/18/2020,09:55:00 pm,0,73.3468,25.163
8/18/2020,10:00:00 pm,0,72.9104,25.236
8/18/2020,10:05:00 pm,0,72.4857,25.312
8/18/2020,10:10:00 pm,0,72.4056,25.394
8/18/2020,10:15:00 pm,0,72.4756,25.480
8/18/2020,10:20:00 pm,0,72.2850,25.565
8/18/2020,10:25:00 pm,0,71.9613,25.650
8/18/2020,10:30:00 pm,0,71.6001,25.733
8/18/2020,10:35:00 pm,0,71.5935,25.807
8/18/2020,10:40:00 pm,0,71.6027,26.046
8/18/2020,10:45:00 pm,0,71.6034,25.931
8/18/2020,10:50:00 pm,0,71.6037,25.674
8/18/2020,10:55:00 pm,0,71.5916,25.389
8/18/2020,11:00:00 pm,0,71.5850,25.497
8/18/2020,11:05:00 pm,0,71.5865,25.348
8/18/2020,11:10:00 pm,0,71.5905,24.925
8/18/2020,11:15:00 pm,0,71.5908,24.632
8/18/2020,11:20:00 pm,0,71.5940,24.306
8/18/2020,11:25:00 pm,0,71.5853,24.068
8/18/2020,11:30:00 pm,0,71.5796,24.037
8/18/2020,11:35:00 pm,0,71.5927,23.883
8/18/2020,11:40:00 pm,0,71.5852,23.560
8/18/2020,11:45:00 pm,0,71.5849,23.289
8/18/2020,11:50:00 pm,0,71.5788,23.097
8/18/2020,11:55:00 pm,0,71.5800,22.937
8/19/2020,12:00:00 am,0,71.5779,22.598
8/19/2020,12:05:00 am,0,71.5822,22.245
8/19/2020,12:10:00 am,0,71.5728,22.075
8/19/2020,12:15:00 am,0,71.5645,22.242
8/19/2020,12:20:00 am,0,71.5650,22.278
8/19/2020,12:25:00 am,0,71.5572,22.415
8/19/2020,12:30:00 am,0,71.5507,22.700
8/19/2020,12:35:00 am,0,71.5428,23.022
8/19/2020,12:40:00 am,0,71.5368,23.386
8/19/2020,12:45:00 am,0,71.5426,23.536
8/19/2020,12:50:00 am,0,71.5385,23.715
8/19/2020,12:55:00 am,0,71.5462,23.960
8/19/2020,01:00:00 am,0,71.5378,24.010
8/19/2020,01:05:00 am,0,71.5414,23.862
8/19/2020,01:10:00 am,0,71.5434,23.610
8/19/2020,01:15:00 am,0,71.5376,23.338
