Serial_number:
2065035
Project ID:

Location:
Lyell Below Maclure
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/18/2020,08:00:00 pm,0,765.21,20.973
8/18/2020,08:30:00 pm,0,764.75,21.662
8/18/2020,09:00:00 pm,0,763.65,22.739
8/18/2020,09:30:00 pm,0,761.70,23.571
8/18/2020,10:00:00 pm,0,747.55,24.206
8/18/2020,10:30:00 pm,0,734.08,24.883
8/18/2020,11:00:00 pm,0,733.61,26.365
8/18/2020,11:30:00 pm,0,733.82,25.045
8/19/2020,12:00:00 am,0,734.11,23.466
8/19/2020,12:30:00 am,0,733.89,23.407
8/19/2020,01:00:00 am,0,733.49,24.768
8/19/2020,01:30:00 am,0,733.66,23.753
8/19/2020,02:00:00 am,0,734.02,22.216
8/19/2020,02:30:00 am,0,734.32,21.619
8/19/2020,03:00:00 am,0,734.51,20.706
8/19/2020,03:30:00 am,0,734.74,19.716
8/19/2020,04:00:00 am,0,735.01,18.464
8/19/2020,04:30:00 am,0,735.02,17.487
8/19/2020,05:00:00 am,0,734.99,16.367
8/19/2020,05:30:00 am,0,734.98,15.223
8/19/2020,06:00:00 am,0,735.02,14.283
8/19/2020,06:30:00 am,0,735.05,13.572
8/19/2020,07:00:00 am,0,734.98,13.143
8/19/2020,07:30:00 am,0,734.85,12.832
8/19/2020,08:00:00 am,0,734.68,12.691
8/19/2020,08:30:00 am,0,734.45,12.791
8/19/2020,09:00:00 am,0,734.28,13.105
8/19/2020,09:30:00 am,0,734.03,13.316
8/19/2020,10:00:00 am,0,733.95,13.133
8/19/2020,10:30:00 am,0,733.84,12.744
8/19/2020,11:00:00 am,0,733.90,12.640
8/19/2020,11:30:00 am,0,733.78,12.587
8/19/2020,12:00:00 pm,0,733.68,12.245
8/19/2020,12:30:00 pm,0,733.52,11.762
8/19/2020,01:00:00 pm,0,733.53,11.319
8/19/2020,01:30:00 pm,0,733.67,11.055
8/19/2020,02:00:00 pm,0,733.75,10.964
8/19/2020,02:30:00 pm,0,734.01,11.015
8/19/2020,03:00:00 pm,0,733.95,11.955
8/19/2020,03:30:00 pm,0,733.69,13.680
8/19/2020,04:00:00 pm,0,732.09,27.627
8/19/2020,04:30:00 pm,0,741.53,27.559
8/19/2020,05:00:00 pm,0,742.03,24.483
8/19/2020,05:30:00 pm,0,768.85,14.390
8/19/2020,06:00:00 pm,0,743.20,12.795
8/19/2020,06:30:00 pm,0,769.99,13.243
8/19/2020,07:00:00 pm,0,769.79,13.500
8/19/2020,07:30:00 pm,0,769.19,13.905
8/19/2020,08:00:00 pm,0,768.93,14.491
8/19/2020,08:30:00 pm,0,768.35,14.915
