Serial_number:
2052258
Project ID:

Location:
Tuolumne@120
LEVEL
UNIT: cm
Offset: 0.000000 cm
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
8/26/2020,07:30:00 pm,0,755.76,20.473
8/26/2020,08:00:00 pm,0,755.66,21.038
8/26/2020,08:30:00 pm,0,757.67,30.315
8/26/2020,09:00:00 pm,0,771.15,19.830
8/26/2020,09:30:00 pm,0,771.06,19.940
8/26/2020,10:00:00 pm,0,771.21,20.178
8/26/2020,10:30:00 pm,0,771.22,20.280
8/26/2020,11:00:00 pm,0,771.06,20.225
8/26/2020,11:30:00 pm,0,771.20,20.093
8/27/2020,12:00:00 am,0,771.25,19.950
8/27/2020,12:30:00 am,0,771.29,19.753
8/27/2020,01:00:00 am,0,771.22,19.590
8/27/2020,01:30:00 am,0,771.13,19.368
8/27/2020,02:00:00 am,0,771.12,19.040
8/27/2020,02:30:00 am,0,771.17,18.611
8/27/2020,03:00:00 am,0,771.28,18.126
8/27/2020,03:30:00 am,0,771.42,17.694
8/27/2020,04:00:00 am,0,771.62,17.278
8/27/2020,04:30:00 am,0,771.79,16.939
8/27/2020,05:00:00 am,0,771.81,16.643
8/27/2020,05:30:00 am,0,771.75,16.369
8/27/2020,06:00:00 am,0,771.68,16.105
8/27/2020,06:30:00 am,0,771.52,15.857
8/27/2020,07:00:00 am,0,771.58,15.618
8/27/2020,07:30:00 am,0,771.60,15.375
8/27/2020,08:00:00 am,0,771.47,15.137
8/27/2020,08:30:00 am,0,771.31,14.904
8/27/2020,09:00:00 am,0,771.13,14.658
8/27/2020,09:30:00 am,0,770.98,14.429
8/27/2020,10:00:00 am,0,770.82,14.197
8/27/2020,10:30:00 am,0,770.78,13.960
8/27/2020,11:00:00 am,0,770.77,13.717
8/27/2020,11:30:00 am,0,770.74,13.471
8/27/2020,12:00:00 pm,0,770.69,13.230
8/27/2020,12:30:00 pm,0,770.69,12.992
8/27/2020,01:00:00 pm,0,770.74,12.756
8/27/2020,01:30:00 pm,0,770.90,12.498
8/27/2020,02:00:00 pm,0,771.13,12.254
8/27/2020,02:30:00 pm,0,771.12,12.042
8/27/2020,03:00:00 pm,0,771.06,11.934
8/27/2020,03:30:00 pm,0,770.99,11.934
8/27/2020,04:00:00 pm,0,770.93,12.071
8/27/2020,04:30:00 pm,0,770.90,12.369
8/27/2020,05:00:00 pm,0,771.05,12.784
8/27/2020,05:30:00 pm,0,771.11,13.339
8/27/2020,06:00:00 pm,0,771.19,14.018
8/27/2020,06:30:00 pm,0,771.10,14.794
8/27/2020,07:00:00 pm,0,771.05,15.647
8/27/2020,07:30:00 pm,0,770.81,16.478
8/27/2020,08:00:00 pm,0,770.80,17.286
8/27/2020,08:30:00 pm,0,770.68,18.060
