date_time(UTC:PDT+7),vented_pressure(cm),water_temperature(deg_C),discharge_flag
2018-06-01 00:00:00,53.27904,8.92,0
2018-06-01 00:30:00,53.09616,8.72,0
2018-06-01 01:00:00,53.7972,8.46,0
2018-06-01 01:30:00,54.102,8.14,0
2018-06-01 02:00:00,54.49824,7.754,0
2018-06-01 02:30:00,55.04688,7.343,0
2018-06-01 03:00:00,54.62016,6.903,0
2018-06-01 03:30:00,54.7116,6.463,0
2018-06-01 04:00:00,54.650639999999996,5.992,0
2018-06-01 04:30:00,54.28488,5.53,0
2018-06-01 05:00:00,54.041039999999995,5.109,0
2018-06-01 05:30:00,53.644800000000004,4.716,0
2018-06-01 06:00:00,52.66944,4.355,0
2018-06-01 06:30:00,52.24272,4.014,0
2018-06-01 07:00:00,51.99888,3.692,0
2018-06-01 07:30:00,52.24272,3.414,0
2018-06-01 08:00:00,51.26736,3.152,0
2018-06-01 08:30:00,51.26736,2.92,0
2018-06-01 09:00:00,50.871120000000005,2.716,0
2018-06-01 09:30:00,50.352959999999996,2.52,0
2018-06-01 10:00:00,50.1396,2.343,0
2018-06-01 10:30:00,49.59096,2.174,0
2018-06-01 11:00:00,49.347120000000004,2.011,0
2018-06-01 11:30:00,49.042320000000004,1.866,0
2018-06-01 12:00:00,48.67656,1.732,0
2018-06-01 12:30:00,48.402240000000006,1.606,0
2018-06-01 13:00:00,47.94504,1.482,0
2018-06-01 13:30:00,47.823119999999996,1.388,0
2018-06-01 14:00:00,47.426880000000004,1.311,0
2018-06-01 14:30:00,47.06112,1.282,0
2018-06-01 15:00:00,46.7868,1.314,0
2018-06-01 15:30:00,46.87824,1.424,0
2018-06-01 16:00:00,46.299119999999995,1.638,0
2018-06-01 16:30:00,46.45152,1.928,0
2018-06-01 17:00:00,46.39056,2.361,0
2018-06-01 17:30:00,46.54296,2.904,0
2018-06-01 18:00:00,46.14672,3.542,0
2018-06-01 18:30:00,46.57344,4.237,0
2018-06-01 19:00:00,46.055279999999996,4.984,0
2018-06-01 19:30:00,46.055279999999996,5.774,0
2018-06-01 20:00:00,46.08576,6.618,0
2018-06-01 20:30:00,46.14672,7.455,0
2018-06-01 21:00:00,45.78096,8.25,0
2018-06-01 21:30:00,46.055279999999996,8.98,0
2018-06-01 22:00:00,46.72584,9.62,0
2018-06-01 22:30:00,47.15256,10.16,0
2018-06-01 23:00:00,48.127919999999996,10.56,0
2018-06-01 23:30:00,48.889920000000004,10.79,0
2018-06-02 00:00:00,50.71872,10.86,0
2018-06-02 00:30:00,51.38928,10.74,0
2018-06-02 01:00:00,52.334160000000004,10.48,0
2018-06-02 01:30:00,53.40096,10.09,0
2018-06-02 02:00:00,53.949600000000004,9.61,0
2018-06-02 02:30:00,55.04688,9.11,0
2018-06-02 03:00:00,55.74792,8.62,0
2018-06-02 03:30:00,55.29072,8.1,0
2018-06-02 04:00:00,55.9308,7.602,0
2018-06-02 04:30:00,55.3212,7.088,0
2018-06-02 05:00:00,55.68696,6.613,0
2018-06-02 05:30:00,54.98592,6.193,0
2018-06-02 06:00:00,54.77256,5.812,0
2018-06-02 06:30:00,54.01056,5.461,0
2018-06-02 07:00:00,54.13248,5.152,0
2018-06-02 07:30:00,53.46192,4.87,0
2018-06-02 08:00:00,52.578,4.615,0
2018-06-02 08:30:00,52.54752,4.37,0
2018-06-02 09:00:00,52.30368,4.143,0
2018-06-02 09:30:00,52.029360000000004,3.949,0
2018-06-02 10:00:00,51.32832,3.781,0
2018-06-02 10:30:00,51.11496,3.634,0
2018-06-02 11:00:00,50.81016,3.498,0
2018-06-02 11:30:00,50.5968,3.368,0
2018-06-02 12:00:00,49.77384,3.242,0
2018-06-02 12:30:00,49.53,3.133,0
2018-06-02 13:00:00,49.347120000000004,3.03,0
2018-06-02 13:30:00,48.73752,2.929,0
2018-06-02 14:00:00,48.646080000000005,2.845,0
2018-06-02 14:30:00,48.097440000000006,2.801,0
2018-06-02 15:00:00,47.88408,2.811,0
2018-06-02 15:30:00,47.518319999999996,2.904,0
2018-06-02 16:00:00,47.64024,3.087,0
2018-06-02 16:30:00,47.213519999999995,3.345,0
2018-06-02 17:00:00,46.84776,3.742,0
2018-06-02 17:30:00,46.9392,4.235,0
2018-06-02 18:00:00,46.817280000000004,4.819,0
2018-06-02 18:30:00,46.72584,5.47,0
2018-06-02 19:00:00,46.26864,6.168,0
2018-06-02 19:30:00,46.11624,6.926,0
