date_time(UTC:PDT+7),vented_pressure(cm),water_temperature(deg_C),discharge_flag
2018-06-01 00:00:00,65.80632,4.018,0
2018-06-01 00:30:00,66.20256,3.783,0
2018-06-01 01:00:00,67.48272,3.525,0
2018-06-01 01:30:00,67.11696,3.257,0
2018-06-01 02:00:00,66.32448000000001,2.968,0
2018-06-01 02:30:00,67.17792,2.682,0
2018-06-01 03:00:00,66.44640000000001,2.406,0
2018-06-01 03:30:00,66.01968,2.12,0
2018-06-01 04:00:00,65.0748,1.87,0
2018-06-01 04:30:00,64.49568000000001,1.66,0
2018-06-01 05:00:00,64.34328000000001,1.47,0
2018-06-01 05:30:00,63.45936,1.302,0
2018-06-01 06:00:00,63.703199999999995,1.142,0
2018-06-01 06:30:00,63.337439999999994,0.997,0
2018-06-01 07:00:00,62.42304,0.876,0
2018-06-01 07:30:00,62.483999999999995,0.764,0
2018-06-01 08:00:00,62.05728,0.675,0
2018-06-01 08:30:00,62.148720000000004,0.59,0
2018-06-01 09:00:00,61.99632,0.53,0
2018-06-01 09:30:00,61.295280000000005,0.476,0
2018-06-01 10:00:00,61.44768,0.435,0
2018-06-01 10:30:00,60.6552,0.401,0
2018-06-01 11:00:00,60.89904,0.368,0
2018-06-01 11:30:00,60.076080000000005,0.336,0
2018-06-01 12:00:00,60.3504,0.309,0
2018-06-01 12:30:00,59.25312,0.291,0
2018-06-01 13:00:00,59.80176,0.272,0
2018-06-01 13:30:00,59.10072,0.263,0
2018-06-01 14:00:00,59.5884,0.264,0
2018-06-01 14:30:00,58.70448,0.28,0
2018-06-01 15:00:00,58.58256,0.364,0
2018-06-01 15:30:00,58.9788,0.532,0
2018-06-01 16:00:00,58.613040000000005,0.755,0
2018-06-01 16:30:00,58.308240000000005,1.039,0
2018-06-01 17:00:00,58.9788,1.394,0
2018-06-01 17:30:00,58.094879999999996,1.826,0
2018-06-01 18:00:00,57.94248,2.33,0
2018-06-01 18:30:00,57.85104,2.874,0
2018-06-01 19:00:00,57.88152,3.444,0
2018-06-01 19:30:00,58.18632,4.027,0
